省,市,区,全名,别名,性质,等级
安徽省,阜阳市,颖州区,颍州区三塔集镇拐湾村卫生室,颍州区三塔集镇拐湾村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区三塔集镇徐寨村卫生室,颍州区三塔集镇徐寨村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区三塔集镇前进村卫生室,颍州区三塔集镇前进村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区三塔集镇大塘村卫生室,颍州区三塔集镇大塘村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区三塔集镇冯于村卫生室,颍州区三塔集镇冯于村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区三塔集镇张寨村卫生室,颍州区三塔集镇张寨村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区三塔集镇葛庙村卫生室,颍州区三塔集镇葛庙村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区三塔集镇倪寨村卫生室,颍州区三塔集镇倪寨村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区三塔集镇吴大村卫生室,颍州区三塔集镇吴大村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区三塔集镇张湖村卫生室,颍州区三塔集镇张湖村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区三塔集镇李小郢村卫生室,颍州区三塔集镇李小郢村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区三塔集镇三塔村卫生室,颍州区三塔集镇三塔村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区三塔集镇周赵村卫生室,颍州区三塔集镇周赵村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,阜阳仁和医院,阜阳仁和医院,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区李竹园村卫生室,颍州区李竹园村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区九龙居委会卫生室,颍州区九龙居委会卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区姬庙村卫生室,颍州区姬庙村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区九龙镇中心卫生院,颍州区九龙镇中心卫生院,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,阜阳经开区京九办事处陈庄社区卫生服务中心,阜阳经开区京九办事处陈庄社区卫生服务中心,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区张老庄卫生室,颍州区张老庄卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区东刘村卫生室,颍州区东刘村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区张寨村卫生室,颍州区张寨村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区时庙村卫生室,颍州区时庙村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区贾庄村卫生室,颍州区贾庄村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区程集中心卫生院,颍州区程集中心卫生院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,颍州区张堂村卫生室,颍州区张堂村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区四十铺村卫生室,颍州区四十铺村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区前炉村卫生室,颍州区前炉村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区大朱村卫生室,颍州区大朱村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区安徐村卫生室,颍州区安徐村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区袁集镇卫生院,颍州区袁集镇卫生院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,阜阳国医馆综合门诊部,阜阳国医馆综合门诊部,其他/综合医院,未知
安徽省,阜阳市,颖州区,阜阳双龙医院,阜阳双龙医院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,阜阳创伤医院,阜阳创伤医院,其他/专科医院,二级医院
安徽省,阜阳市,颖州区,阜阳天德中医康复医院,阜阳天德中医康复医院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,阜阳龙奇椎间盘病医院,阜阳龙奇椎间盘病医院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,阜阳百佳妇产医院,阜阳妇产医院,其他/专科医院,二级医院
安徽省,阜阳市,颖州区,阜阳神康医院,阜阳神康医院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,阜阳万生医院,阜阳万生医院,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,阜阳市人民医院纺织分院,阜阳市人民医院纺织分院,其他/综合医院,二级医院
安徽省,阜阳市,颖州区,颍州区三塔集镇中心卫生院,颍州区三塔集镇中心卫生院,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,阜阳华东医院,阜阳华东医院,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,阜阳经济技术开发区京九办事处社区卫生服务中心,京九办事处社区卫生服务中心,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区三塔集镇洲孜村卫生室,颍州区三塔集镇洲孜村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区三塔集镇盛庄村卫生室,颍州区三塔集镇盛庄村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区三塔集镇花园村卫生室,颍州区三塔集镇花园村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区三塔集镇胜华村卫生室,颍州区三塔集镇胜华村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,阜阳瑞康医院,阜阳瑞康医院,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,阜阳市红十字骨科医院,阜阳骨科医院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,阜阳五官科医院,阜阳五官科医院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,阜阳市红十字博爱医院,阜阳市红十字博爱医院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,阜阳皮肤病医院,阜阳皮肤病医院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,阜阳泽明眼科医院,阜阳泽明眼科医院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,阜阳华夏高血压病医院,阜阳华夏高血压病医院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,阜阳华山医院,阜阳华山医院,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,阜阳中西医结合肛肠医院,阜阳中西医结合肛肠医院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,阜阳同济外科医院,阜阳同济外科医院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,阜阳疝病专科医院,阜阳疝病专科医院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,阜阳糖尿病医院,阜阳糖尿病医院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,颍州区西湖镇卫生院,颍州区西湖镇卫生院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,颍州区文峰办事处社区卫生服务中心,颍州区文峰办事处社区卫生服务中心,公立/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区余庄村卫生院,颍州区余庄村卫生院,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区王寨村卫生室,颍州区王寨村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区王店居委会卫生室,颍州区王店居委会卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区双郢村卫生室,颍州区双郢村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区十二里村卫生室,颍州区十二里村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区连新村卫生室,颍州区连新村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区胡庙村卫生室,颍州区胡庙村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,阜阳市妇幼保健医院,阜阳市第六人民医院,公立/专科医院,二级甲等
安徽省,阜阳市,颖州区,阜阳市第二人民医院（原阜阳地区传染病医院）,阜阳市第二人民医院（原阜阳地区传染病医院）,公立/综合医院,一级甲等
安徽省,阜阳市,颖州区,阜阳现代医院,阜阳现代男科医院,民营/专科医院,未评级
安徽省,阜阳市,颖州区,阜阳市妇幼保健院,阜阳市颖州人民医院,公立/综合医院,二级甲等
安徽省,阜阳市,颖州区,阜阳市肿瘤医院,阜阳市肿瘤医院,公立/专科医院,二级甲等
安徽省,阜阳市,颖州区,阜阳市第三人民医院,阜阳市中心医院,公立/综合医院,二级甲等
安徽省,阜阳市,颖州区,阜阳市妇幼保健院,颖州人民医院,公立/综合医院,二级甲等
安徽省,阜阳市,颖州区,阜阳市第二人民医院,阜阳地区传染病医院,公立/综合医院,三级甲等　　
安徽省,阜阳市,颖州区,阜阳市人民医院,阜阳市人民医院,公立/综合医院,三级甲等　　
安徽省,阜阳市,颖州区,阜阳市中医院,阜阳市中医院,公立/综合医院,三级甲等　　
安徽省,阜阳市,颖州区,颍州区韩寨村卫生室,颍州区韩寨村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区王店镇中心卫生院,颍州区王店镇中心卫生院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,颍州区左庄村卫生室,颍州区左庄村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区园岭村卫生室,颍州区园岭村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区三十里铺镇卫生院,颍州区三十里铺镇卫生院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,颍州区掩龙村卫生室,颍州区掩龙村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区三合镇卫生院,颍州区三合镇卫生院,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区清河办事处社区卫生服务中心,颍州区清河办事处社区卫生服务中心,其他/综合医院,一级医院
安徽省,阜阳市,颖州区,颍州区宋寨村卫生室,颍州区宋寨村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区庙东村卫生室,颍州区庙东村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区马寨乡卫生院,颍州区马寨乡卫生院,其他/专科医院,一级医院
安徽省,阜阳市,颖州区,颍州区叶寨村卫生室,颍州区叶寨村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区西刘村卫生室,颍州区西刘村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区庙前村卫生室,颍州区庙前村卫生室,其他/综合医院,未知
安徽省,阜阳市,颖州区,颍州区颍西办事处社区卫生服务中心,颍州区颍西办事处社区卫生服务中心,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区路庄村卫生室,颍州区路庄村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,颍州区大许村卫生室,颍州区大许村卫生室,其他/专科医院,未知
安徽省,阜阳市,颖州区,阜阳肝胆中西医结合医院,阜阳肝胆医院,其他/综合医院,未评级
安徽省,阜阳市,颖州区,阜阳肿瘤医院,阜阳肿瘤医院,公立/综合医院,二级甲等
安徽省,阜阳市,颖州区,阜阳市精神病医院,阜阳市精神病医院,公立/综合医院,一级甲等
安徽省,阜阳市,颖州区,阜阳第九人民医院,阜阳九院,公立/综合医院,一级甲等
安徽省,阜阳市,颖州区,阜阳第九人民医院,阜阳九院,公立/综合医院,未知
