省,市,区,全名,别名,性质,等级
安徽省,阜阳市,界首市,界首市光武中心医院,界首市光武中心医院,公立/综合医院,一级甲等
安徽省,阜阳市,界首市,界首市工人疗养院,界首市工人疗养院,其他/专科医院,一级医院
安徽省,阜阳市,界首市,界首华之康精神专科医院,界首华之康精神专科医院,其他/专科医院,二级医院
安徽省,阜阳市,界首市,界首市协和医院,界首市协和医院,其他/综合医院,一级医院
安徽省,阜阳市,界首市,界首京安骨科医院,界首京安骨科医院,其他/专科医院,二级医院
安徽省,阜阳市,界首市,界首市妇幼保健,界首市妇幼保健,公立/专科医院,一级医院
安徽省,阜阳市,界首市,界首市红十字医院,界首市红十字医院,公立/综合医院,未知
安徽省,阜阳市,界首市,界首市康复医院,界首市康复医院,公立/综合医院,未知
安徽省,阜阳市,界首市,界首市第二人民医院,界首市第二人民医院,公立/综合医院,未知
安徽省,阜阳市,界首市,界首工人医院,界首工人医院,公立/综合医院,一级甲等
安徽省,阜阳市,界首市,界首市中医院,界首市中医院,公立/综合医院,一级甲等
安徽省,阜阳市,界首市,界首市人民医院,界首市人民医院,公立/综合医院,二级甲等
