省,市,区,全名,别名,性质,等级
安徽省,阜阳市,临泉县,临泉县杨小街乡徐营村卫生室,临泉县杨小街乡徐营村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县杨小街乡赵围孜村卫生室,临泉县杨小街乡赵围孜村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,临泉县,临泉县杨小街乡杨蒲村卫生室,临泉县杨小街乡杨蒲村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县杨小街乡新集村卫生室,临泉县杨小街乡新集村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,临泉县,临泉县杨小街乡王新行政村卫生室,临泉县杨小街乡王新行政村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县杨小街乡王老庄村卫生室,临泉县杨小街乡王老庄村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,临泉县,临泉县杨小街乡明桥中心村卫生室,临泉县杨小街乡明桥中心村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县杨小街乡柳集村卫生室,临泉县杨小街乡柳集村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,临泉县,临泉县杨小街乡柳大庄村卫生室,临泉县杨小街乡柳大庄村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,临泉县,临泉县杨小街乡卫生院,临泉县杨小街乡卫生院,其他/综合医院,一级医院
安徽省,阜阳市,临泉县,临泉县白庙镇镇东行政村卫生室,临泉县白庙镇镇东行政村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县白庙镇姚集村卫生室,临泉县白庙镇姚集村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,临泉县,临泉县白庙镇杨庄行政村卫生室,临泉县白庙镇杨庄行政村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县白庙镇新建村卫生室,临泉县白庙镇新建村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县白庙镇邵营村卫生室,临泉县白庙镇邵营村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县白庙镇三星村卫生室,临泉县白庙镇三星村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县白庙镇孟楼行政村卫生室,临泉县白庙镇孟楼行政村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县白庙镇鲁阁村卫生室,临泉县白庙镇鲁阁村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,临泉县,临泉县白庙镇大徐村卫生室,临泉县白庙镇大徐村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县白庙镇净堂村卫生室,临泉县白庙镇净堂村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县白庙镇白庙行政村卫生室,临泉县白庙镇白庙行政村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县白庙镇卞庄村卫生室,临泉县白庙镇卞庄村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县白庙镇卫生院,临泉县白庙镇卫生院,公立/综合医院,一级医院
安徽省,阜阳市,临泉县,临泉县陈集镇柘树桥村卫生室,临泉县陈集镇柘树桥村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陈集镇油店桥村卫生室,临泉县陈集镇油店桥村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陈集镇南杨庄村卫生室,临泉县陈集镇南杨庄村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陈集镇闫楼行政村卫生室,临泉县陈集镇闫楼行政村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陈集镇联建村卫生室,临泉县陈集镇联建村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陈集镇任老行政村卫生室,临泉县陈集镇任老行政村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陈集镇水寨行政村卫生室,临泉县陈集镇水寨行政村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陈集镇彭营村卫生室,临泉县陈集镇彭营村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陈集镇李钟营村卫生室,临泉县陈集镇李钟营村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陈集镇李长营村卫生室,临泉县陈集镇李长营村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陈集镇东岳庙村卫生室,临泉县陈集镇东岳庙村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陈集镇东王营村卫生室,临泉县陈集镇东王营村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陈集镇丁庄村卫生室,临泉县陈集镇丁庄村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陈集镇陈集村卫生室,临泉县陈集镇陈集村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陈集镇朝阳村卫生室,临泉县陈集镇朝阳村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陈集镇卫生院,临泉县陈集镇卫生院,其他/综合医院,一级医院
安徽省,阜阳市,临泉县,临泉县陶老乡徐大村卫生室,临泉县陶老乡徐大村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陶老乡陶老村卫生室,临泉县陶老乡陶老村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陶老乡早里店村卫生室,临泉县陶老乡早里店村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陶老乡南周庄村卫生室,临泉县陶老乡南周庄村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陶老乡腰庄村卫生室,临泉县陶老乡腰庄村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陶老乡南天门村卫生室,临泉县陶老乡南天门村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陶老乡大黄庄村卫生室,临泉县陶老乡大黄庄村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陶老乡长集村卫生室,临泉县陶老乡长集村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县陶老乡新洪村卫生室,临泉县陶老乡新洪村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,临泉县,临泉县陶老乡卫生院,临泉县陶老乡卫生院,其他/综合医院,一级医院
安徽省,阜阳市,临泉县,临泉县谢集乡岳庄行政村卫生室,临泉县谢集乡岳庄行政村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县谢集乡大王行政村卫生室,临泉县谢集乡大王行政村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县谢集乡陈老行政村卫生室,临泉县谢集乡陈老行政村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县谢集乡高集村卫生室,临泉县谢集乡高集村卫生室,其他/专科医院,一级医院
安徽省,阜阳市,临泉县,临泉县谢集乡前周村卫生室,临泉县谢集乡前周村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,临泉县,临泉县谢集乡李寨村卫生室,临泉县谢集乡李寨村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县谢集乡东陈村卫生室,临泉县谢集乡东陈村卫生室,民营/综合医院,一级医院
安徽省,阜阳市,临泉县,临泉县谢集乡谢集村卫生室,临泉县谢集乡谢集村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县谢集乡六里村卫生室,临泉县谢集乡六里村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县谢集乡胡小庄村卫生室,临泉县谢集乡胡小庄村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县单桥镇孟庄村卫生室,临泉县单桥镇孟庄村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县吕寨镇周大庄行政村卫生室,临泉县吕寨镇周大庄行政村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县吕寨镇夏庄行政村卫生室,临泉县吕寨镇夏庄行政村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县吕寨镇杨庄村卫生室,临泉县吕寨镇杨庄村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县吕寨镇后任庄村卫生室,临泉县吕寨镇后任庄村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县吕寨镇吕寨行政村卫生室,临泉县吕寨镇吕寨行政村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县吕寨镇李老庄村卫生室,临泉县吕寨镇李老庄村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县吕寨镇谷河村卫生室,临泉县吕寨镇谷河村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县吕寨镇高堰行政村卫生室,临泉县吕寨镇高堰行政村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县吕寨镇陈小寨村卫生室,临泉县吕寨镇陈小寨村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县吕寨镇陈楼行政村卫生室,临泉县吕寨镇陈楼行政村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县吕寨镇五岳村卫生室,临泉县吕寨镇五岳村卫生室,其他/专科医院,未知
安徽省,阜阳市,临泉县,临泉县吕寨镇卫生院,临泉县吕寨镇卫生院,其他/综合医院,一级医院
