省,市,区,全名,别名,性质,等级
安徽省,阜阳市,太和县,太和县税镇卫生院,太和县税镇卫生院,公立/综合医院,一级医院
安徽省,阜阳市,太和县,太和县坟台镇民族村卫生室,太和县坟台镇民族村卫生室,其他/综合医院,未知
安徽省,阜阳市,太和县,太和县坟台镇前冯卫生室,太和县坟台镇前冯卫生室,其他/综合医院,未知
安徽省,阜阳市,太和县,太和县坟台镇中心卫生院,太和县坟台镇中心卫生院,其他/综合医院,一级医院
安徽省,阜阳市,太和县,太和县二郎乡通达卫生室,太和县二郎乡通达卫生室,其他/综合医院,未知
安徽省,阜阳市,太和县,太和县二郎乡二郎卫生室,太和县二郎乡二郎卫生室,其他/综合医院,未知
安徽省,阜阳市,太和县,太和县二郎乡卫生院,太和县二郎乡卫生院,其他/综合医院,一级医院
安徽省,阜阳市,太和县,太和民康医院,太和民康医院,其他/专科医院,一级医院
安徽省,阜阳市,太和县,太和县皮条孙镇卫生院,太和县皮条孙镇卫生院,公立/综合医院,一级医院
安徽省,阜阳市,太和县,太和县阮桥乡刘关卫生室,太和县阮桥乡刘关卫生室,其他/综合医院,未知
安徽省,阜阳市,太和县,太和县阮桥镇卫生院,太和县阮桥镇卫生院,公立/综合医院,一级医院
安徽省,阜阳市,太和县,太和县关集镇中心卫生院,太和县关集镇中心卫生院,公立/综合医院,一级医院
安徽省,阜阳市,太和县,太和县原墙镇刘庙卫生室,太和县原墙镇刘庙卫生室,其他/综合医院,未知
安徽省,阜阳市,太和县,太和县原墙镇刘老寨卫生室,太和县原墙镇刘老寨卫生室,其他/综合医院,未知
安徽省,阜阳市,太和县,太和县原墙镇中心卫生院,太和县原墙镇中心卫生院,公立/综合医院,一级医院
安徽省,阜阳市,太和县,太和县马集乡港西卫生室,太和县马集乡港西卫生室,其他/综合医院,未知
安徽省,阜阳市,太和县,太和县马集乡卫生院,太和县马集乡卫生院,公立/综合医院,一级医院
安徽省,阜阳市,太和县,太和县城关镇北大社区服务站,太和县城关镇北大社区服务站,其他/综合医院,未知
安徽省,阜阳市,太和县,太和县蔡庙镇李宋卫生室,太和县蔡庙镇李宋卫生室,其他/综合医院,未知
安徽省,阜阳市,太和县,太和县蔡庙镇郭桥卫生室,太和县蔡庙镇郭桥卫生室,其他/综合医院,未知
安徽省,阜阳市,太和县,太和县蔡庙镇史庄卫生室,太和县蔡庙镇史庄卫生室,其他/综合医院,未知
安徽省,阜阳市,太和县,太和县蔡庙镇中心卫生院,太和县蔡庙镇中心卫生院,公立/综合医院,一级医院
安徽省,阜阳市,太和县,太和县高庙镇卫生院,太和县高庙镇卫生院,公立/综合医院,一级医院
安徽省,阜阳市,太和县,太和县双庙镇双庙卫生室,太和县双庙镇双庙卫生室,其他/综合医院,未知
安徽省,阜阳市,太和县,太和县双庙镇李寨卫生室,太和县双庙镇李寨卫生室,其他/综合医院,未知
安徽省,阜阳市,太和县,太和县双庙镇卫生院,太和县双庙镇卫生院,公立/综合医院,一级医院
安徽省,阜阳市,太和县,太和县肖口镇新王村卫生室,太和县肖口镇新王村卫生室,其他/综合医院,未知
安徽省,阜阳市,太和县,太和县肖口镇陈庙村卫生室,太和县肖口镇陈庙村卫生室,其他/综合医院,未知
安徽省,阜阳市,太和县,太和县肖口镇田庄卫生室,太和县肖口镇田庄卫生室,其他/综合医院,未知
安徽省,阜阳市,太和县,太和县肖口镇肖口村卫生室,太和县肖口镇肖口村卫生室,其他/综合医院,未知
安徽省,阜阳市,太和县,太和县肖口镇钱庄卫生室,太和县肖口镇钱庄卫生室,其他/综合医院,未知
