省,市,区,全名,别名,性质,等级
安徽省,阜阳市,阜南县,阜南县朱寨镇五井村卫生室,阜南县朱寨镇五井村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县朱寨镇袁庄村卫生室,阜南县朱寨镇袁庄村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县朱寨镇双沟村卫生室,阜南县朱寨镇双沟村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县朱寨镇朱寨村卫生室,阜南县朱寨镇朱寨村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县朱寨镇三河村卫生室,阜南县朱寨镇三河村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县朱寨镇前店村卫生室,阜南县朱寨镇前店村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县朱寨镇闵庄村卫生室,阜南县朱寨镇闵庄村卫生室,其他/专科医院,一级医院
安徽省,阜阳市,阜南县,阜南县朱寨镇李集村卫生室,阜南县朱寨镇李集村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县朱寨镇大刘村卫生室,阜南县朱寨镇大刘村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县朱寨镇曹元村卫生室,阜南县朱寨镇曹元村卫生室,其他/专科医院,一级医院
安徽省,阜阳市,阜南县,阜南县朱寨镇曹店村卫生室,阜南县朱寨镇曹店村卫生室,其他/专科医院,一级医院
安徽省,阜阳市,阜南县,阜南县朱寨镇卫生院,阜南县朱寨镇卫生院,公立/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县老观乡老观村卫生室,阜南县老观乡老观村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县老观乡康湖村卫生室,阜南县老观乡康湖村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县老观乡陡河村卫生室,阜南县老观乡陡河村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县老观乡卫生院,阜南县老观乡卫生院,公立/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县郜台乡刘店村卫生室,阜南县郜台乡刘店村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县郜台乡宋台村卫生室,阜南县郜台乡宋台村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县郜台乡木郢村卫生室,阜南县郜台乡木郢村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县郜台乡桂庙村卫生室,阜南县郜台乡桂庙村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县老观乡新河村卫生室,阜南县老观乡新河村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县老观乡顺河村卫生室,阜南县老观乡顺河村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县郜台乡郜台村卫生室,阜南县郜台乡郜台村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县郜台乡段台村卫生室,阜南县郜台乡段台村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县郜台乡曹台村卫生室,阜南县郜台乡曹台村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县郜台乡毕台村卫生室,阜南县郜台乡毕台村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县郜台乡卫生院,阜南县郜台乡卫生院,公立/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县王堰镇堰沟村卫生室,阜南县王堰镇堰沟村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县王堰镇刘郢村卫生室,阜南县王堰镇刘郢村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县王堰镇张楼村卫生室,阜南县王堰镇张楼村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县王堰镇小集村卫生室,阜南县王堰镇小集村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县王堰镇孙寨村卫生室,阜南县王堰镇孙寨村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县王堰镇卢楼村卫生室,阜南县王堰镇卢楼村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县王堰镇李腰村卫生室,阜南县王堰镇李腰村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县王堰镇卫生院,阜南县王堰镇卫生院,公立/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县工业园区杨庄社区卫生服务站,阜南县工业园区杨庄社区卫生服务站,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县工业园区相树社区卫生服务站,阜南县工业园区相树社区卫生服务站,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县春晖学校医疗室,阜南县春晖学校医疗室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县工业园区卫生院,阜南县工业园区卫生院,公立/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县鹿城镇骆寨社区卫生服务站,阜南县鹿城镇骆寨社区卫生服务站,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县鹿城镇曾老庄社区卫生服务站,阜南县鹿城镇曾老庄社区卫生服务站,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县鹿城镇王庄村卫生室,阜南县鹿城镇王庄村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县鹿城镇赵庄村卫生室,阜南县鹿城镇赵庄村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县鹿城镇张堂村卫生室,阜南县鹿城镇张堂村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县鹿城镇项集村卫生室,阜南县鹿城镇项集村卫生室,其他/专科医院,一级医院
安徽省,阜阳市,阜南县,阜南县鹿城镇三强村卫生室,阜南县鹿城镇三强村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县鹿城镇南关社区卫生服务站,阜南县鹿城镇南关社区卫生服务站,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县鹿城镇苗寺村卫生室,阜南县鹿城镇苗寺村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县鹿城镇刘楼村卫生室,阜南县鹿城镇刘楼村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县鹿城镇冷庙村卫生室,阜南县鹿城镇冷庙村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县鹿城镇阜西村卫生室,阜南县鹿城镇阜西村卫生室,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县鹿城镇城南社区卫生服务站,阜南县鹿城镇城南社区卫生服务站,其他/综合医院,一级医院
安徽省,阜阳市,阜南县,阜南县鹿城镇和平社区卫生服务站,阜南县鹿城镇和平社区卫生服务站,其他/综合医院,一级医院
