省,市,区,全名,别名,性质,等级
安徽省,宣城市,宣州区,宣城市人民医院,宣城市人民医院,公立/综合医院,三级乙等
安徽省,宣城市,宣州区,安徽省南湖劳教所医院,安徽省南湖劳教所医院,公立/综合医院,一级甲等
安徽省,宣城市,宣州区,宣州区精神病院,宣州区精神病院,公立/综合医院,一级甲等
安徽省,宣城市,宣州区,宣城中心医院,宣城中心医院,公立/综合医院,一级甲等
安徽省,宣城市,宣州区,宣城朝阳医院,宣城男科医院,其他/专科医院,未知
安徽省,宣城市,宣州区,宣城九洲医院,宣城男科医院,其他/专科医院,未知
安徽省,宣城市,宣州区,宣州市宣州区济川医院,宣州市宣州区济川医院,公立/综合医院,未知
安徽省,宣城市,宣州区,宣州市宣州区精神病医院,宣州市宣州区精神病医院,公立/综合医院,未知
安徽省,宣城市,宣州区,安徽省南湖劳教工作管理处医院,安徽省南湖劳教工作管理处医院,公立/综合医院,未知
安徽省,宣城市,宣州区,宣州市济川医院,宣州市济川医院,公立/综合医院,未知
安徽省,宣城市,宣州区,宣州市精神病医院,宣州市精神病医院,公立/综合医院,未知
安徽省,宣城市,宣州区,宣州市中医院,宣州市中医院,公立/综合医院,未知
安徽省,宣城市,宣州区,宣城市中心医院,宣城市中心医院,公立/综合医院,二级甲等
安徽省,宣城市,宣州区,上海市军天湖农场医院,上海市军天湖农场医院,公立/综合医院,一级甲等
