省,市,区,全名,别名,性质,等级
安徽省,滁州市,凤阳县,凤阳县府城镇蒲北村卫生服务站,凤阳县府城镇蒲北村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县红心镇蒋庄村卫生服务站,凤阳县红心镇蒋庄村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县红心镇侯王村卫生服务站,凤阳县红心镇侯王村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县红心镇乌罗村卫生服务站,凤阳县红心镇乌罗村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县红心镇杨山村卫生服务站,凤阳县红心镇杨山村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县红心镇七里村卫生服务站,凤阳县红心镇七里村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县红心镇岗戴村卫生服务站,凤阳县红心镇岗戴村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县红心镇界牌村卫生服务站,凤阳县红心镇界牌村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县红心镇三里村卫生服务站,凤阳县红心镇三里村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县红心镇卫生院梅市分院,凤阳县红心镇卫生院梅市分院,其他/综合医院,一级医院
安徽省,滁州市,凤阳县,凤阳县红心镇卫生院,凤阳县红心镇卫生院,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县小溪河镇前缪村卫生服务站,凤阳县小溪河镇前缪村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县小溪河镇前洪村卫生服务站,凤阳县小溪河镇前洪村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县小溪河镇乔山村卫生服务站,凤阳县小溪河镇乔山村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县小溪河镇姚湾村卫生服务站,凤阳县小溪河镇姚湾村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县小溪河镇燃灯村卫生服务站,凤阳县小溪河镇燃灯村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县小溪河镇梨元村卫生服务站,凤阳县小溪河镇梨元村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县小岗村卫生服务中心,凤阳县小岗村卫生服务中心,其他/综合医院,未知
安徽省,滁州市,凤阳县,凤阳县小溪河镇大庙余村卫生院服务站,凤阳县小溪河镇大庙余村卫生院服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县小溪河镇北夏村卫生服务站,凤阳县小溪河镇北夏村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县小溪河镇小溪河村卫生服务站,凤阳县小溪河镇小溪河村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县小溪河镇金庄村卫生服务站,凤阳县小溪河镇金庄村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县小溪河镇齐郢村卫生服务站,凤阳县小溪河镇齐郢村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县小溪河镇中庄村卫生服务站,凤阳县小溪河镇中庄村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县小溪河镇中心卫生院,凤阳县小溪河镇中心卫生院,其他/综合医院,一级医院
安徽省,滁州市,凤阳县,凤阳县石门山镇卫生院,凤阳县石门山镇卫生院,其他/综合医院,一级医院
安徽省,滁州市,凤阳县,凤阳县小溪河镇中心卫生院燃灯分院,凤阳县小溪河镇中心卫生院燃灯分院,其他/综合医院,一级医院
安徽省,滁州市,凤阳县,凤阳县大溪河镇七里村卫生服务站,凤阳县大溪河镇七里村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县大溪河镇石塘村卫生服务站,凤阳县大溪河镇石塘村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县大溪河镇胡刘村卫生服务站,凤阳县大溪河镇胡刘村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县大溪河镇江山村卫生服务站,凤阳县大溪河镇江山村卫生服务站,其他/专科医院,未知
安徽省,滁州市,凤阳县,凤阳县大溪河镇草塘村卫生服务站,凤阳县大溪河镇草塘村卫生服务站,其他/专科医院,未知
