省,市,区,全名,别名,性质,等级
福建省,福州市,台江区,福州台江整形医院,福州台江医院整形美容,民营/综合医院,二级医院
福建省,福州市,台江区,福州比华利美容医院,福州比华利美容医院,民营/专科医院,未知
福建省,福州市,台江区,福州维多利亚整形医院,福州维多利亚整形医院,其他/其他,未知
福建省,福州市,台江区,台江贝臣口腔门诊部,贝臣齿科（中国）连锁,其他/其他,未评级
福建省,福州市,台江区,福建医科大学校医院,福建医科大学校医院,公立/综合医院,未知
福建省,福州市,台江区,福州市台江区洋中社区卫生服务中心,洋中卫生院,公立/综合医院,未知
福建省,福州市,台江区,福州市台江区万侯社区卫生服务站,福州市台江区万侯社区卫生服务站,公立/综合医院,未知
福建省,福州市,台江区,福州台江区苍霞社区卫生服务中心,福州台江区苍霞社区卫生服务中心,公立/综合医院,未知
福建省,福州市,台江区,福州市台江茶亭社区卫生服务中心,福州市台江茶亭社区卫生服务中心,公立/综合医院,未知
福建省,福州市,台江区,福州市台江区宁化街道祥坂社区卫生服务站,福州市台江区宁化街道祥坂社区卫生服务站,公立/综合医院,未知
福建省,福州市,台江区,福州市上海新村街道社区卫生服务中心,福州市上海新村街道社区卫生服务中心,公立/综合医院,未知
福建省,福州市,台江区,福州市台江区义洲社区卫生服务中心,福州市台江区义洲社区卫生服务中心,公立/综合医院,未知
福建省,福州市,台江区,福州市台江区义洲街道保兴社区卫生服务中心,福州市台江区义洲街道保兴社区卫生服务中心,公立/综合医院,未知
福建省,福州市,台江区,福州市台江区瀛洲卫生院瀛东社区卫生服务中心,福州市台江区瀛洲卫生院瀛东社区卫生服务中心,公立/综合医院,未知
福建省,福州市,台江区,福州市台江区瀛洲卫生院红星社区卫生服务中心,福州市台江区瀛洲卫生院红星社区卫生服务中心,公立/综合医院,未知
福建省,福州市,台江区,福州台江双杭社区卫生服务中心,福州台江双杭社区卫生服务中心,公立/综合医院,未知
福建省,福州市,台江区,福州市台江区茶亭街道福德社区卫生服务中心,福州市台江区茶亭街道福德社区卫生服务中心,公立/综合医院,未知
福建省,福州市,台江区,福州市台江区茶亭街道阳光社区卫生服务站,福州市台江区茶亭街道阳光社区卫生服务站,公立/综合医院,未知
福建省,福州市,台江区,福州市台江区双杭街道水巷社区卫生服务站,福州市台江区双杭街道水巷社区卫生服务站,公立/综合医院,未知
福建省,福州市,台江区,福州东南眼科医院,福州东南眼科医院,公立/专科医院,一级乙等
福建省,福州市,台江区,福州台江医院,台江医院,民营/综合医院,二级乙等
福建省,福州市,台江区,福州市台江区中医院,福州市台江区中医院,公立/综合医院,二级乙等
福建省,福州市,台江区,福建省皮肤病性病防治院,福建省皮肤病性病研究所,公立/专科医院,三级乙等
福建省,福州市,台江区,福州市第一医院,福州红十字医院,公立/综合医院,三级甲等　　
福建省,福州市,台江区,福建医科大学附属第一医院,福建医科大学附属第一医院,公立/综合医院,三级甲等　　
福建省,福州市,台江区,福建省人民医院,福建省中医学院附属人民医院,公立/综合医院,三级甲等　　
福建省,福州市,台江区,福州市第六医院,福州市第六医院,公立/综合医院,二级甲等
福建省,福州市,台江区,台江区宁化街道社区卫生服务中心,台江区宁化街道社区卫生服务中心,其他/其他,未知
福建省,福州市,台江区,台江区后洲街道社区卫生服务中心,台江区后洲街道社区卫生服务中心,其他/其他,未知
福建省,福州市,台江区,台江区上海街道社区卫生服务中心,台江区上海街道社区卫生服务中心,其他/其他,未知
福建省,福州市,台江区,台江区洋中街道社区卫生服务中心,台江区洋中街道社区卫生服务中心,其他/其他,未知
福建省,福州市,台江区,台江区鳌峰街道社区卫生服务中心,台江区鳌峰街道社区卫生服务中心,其他/其他,未知
福建省,福州市,台江区,台江区义洲街道社区卫生服务中心,福州市台江区义洲社区卫生服务中心,其他/其他,未知
福建省,福州市,台江区,台江区瀛洲街道社区卫生服务中心,台江区瀛洲街道社区卫生服务中心,其他/其他,未知
福建省,福州市,台江区,台江区新港街道社区卫生服务中心,台江区新港街道社区卫生服务中心,其他/其他,未知
福建省,福州市,台江区,台江区茶亭街道社区卫生服务中心,台江区茶亭街道社区卫生服务中心,其他/其他,未知
福建省,福州市,台江区,台江区苍霞街道社区卫生服务中心,台江区苍霞街道社区卫生服务中心,其他/其他,未知
