省,市,区,全名,别名,性质,等级
福建省,福州市,长乐市,长乐市吴航街道社区卫生服务中心,长乐市吴航街道社区卫生服务中心,其他/其他,未知
福建省,福州市,长乐市,长乐市营前街道社区卫生服务中心,长乐市营前街道社区卫生服务中心,其他/其他,未知
福建省,福州市,长乐市,长乐市漳港街道社区卫生服务中心,长乐市漳港街道社区卫生服务中心,其他/其他,未知
福建省,福州市,长乐市,长乐市航城街道社区卫生服务中心,长乐市航城街道社区卫生服务中心,其他/其他,未知
福建省,福州市,长乐市,长乐金峰福康医院,长乐金峰福康医院,民营/综合医院,未知
福建省,福州市,长乐市,长乐市精神病医院,长乐市精神病医院,公立/综合医院,未知
福建省,福州市,长乐市,长乐市妇幼保健院,长乐市妇幼保健院,公立/综合医院,未知
福建省,福州市,长乐市,长乐市第二医院,长乐市第二医院,公立/综合医院,一级甲等
福建省,福州市,长乐市,长乐市中医院,长乐市中医院,公立/综合医院,二级甲等
福建省,福州市,长乐市,长乐市医院,长乐市医院,公立/综合医院,二级甲等
福建省,福州市,长乐市,长乐市首占卫生院,长乐市首占卫生院,其他/其他,未知
福建省,福州市,长乐市,长乐市玉田中心卫生院,长乐市玉田中心卫生院,其他/其他,未知
福建省,福州市,长乐市,长乐市古槐中心卫生院,长乐市古槐中心卫生院,其他/其他,未知
福建省,福州市,长乐市,长乐市金峰卫生院,长乐市金峰卫生院,其他/其他,未知
福建省,福州市,长乐市,长乐市文岭镇卫生院,长乐市文岭镇卫生院,其他/其他,未知
福建省,福州市,长乐市,长乐市文武砂卫生院,长乐市文武砂卫生院,其他/其他,未知
福建省,福州市,长乐市,长乐市猴屿卫生院,长乐市猴屿卫生院,其他/其他,未知
福建省,福州市,长乐市,长乐市罗联卫生院,长乐市罗联卫生院,其他/其他,未知
福建省,福州市,长乐市,长乐市梅花卫生院,长乐市梅花卫生院,其他/其他,未知
福建省,福州市,长乐市,长乐市湖南卫生院,长乐市湖南卫生院,其他/其他,未知
福建省,福州市,长乐市,长乐市鹤上卫生院,长乐市鹤上卫生院,其他/其他,未知
福建省,福州市,长乐市,长乐市松下卫生院,长乐市松下卫生院,其他/其他,未知
福建省,福州市,长乐市,长乐市江田卫生院,长乐市江田卫生院,其他/其他,未知
福建省,福州市,长乐市,长乐市潭头卫生院,长乐市潭头卫生院,其他/其他,未知
