省,市,区,全名,别名,性质,等级
福建省,福州市,闽侯县,闽侯县竹岐乡卫生院,闽侯县竹岐乡卫生院,其他/其他,未知
福建省,福州市,闽侯县,闽侯县大湖卫生院,闽侯县大湖卫生院,其他/其他,未知
福建省,福州市,闽侯县,闽侯县廷坪卫生院,闽侯县廷坪卫生院,其他/其他,未知
福建省,福州市,闽侯县,闽侯县洋里卫生院,闽侯县洋里卫生院,其他/其他,未知
福建省,福州市,闽侯县,闽侯县鸿尾卫生院,闽侯县鸿尾卫生院,其他/其他,未知
福建省,福州市,闽侯县,闽侯县竹岐卫生院,闽侯县竹岐卫生院（榕东村）,其他/其他,未知
福建省,福州市,闽侯县,闽侯县青口卫生院,闽侯县青口卫生院,其他/其他,未知
福建省,福州市,闽侯县,闽侯县南通卫生院,闽侯县南通卫生院,其他/其他,未知
福建省,福州市,闽侯县,闽侯县荆溪卫生院,闽侯县荆溪卫生院,其他/其他,未知
福建省,福州市,闽侯县,闽侯县白沙中心卫生院,闽侯县白沙中心卫生院,其他/其他,未知
福建省,福州市,闽侯县,闽侯县南屿中心卫生院,闽侯县南屿中心卫生院,其他/其他,未知
福建省,福州市,闽侯县,闽侯县祥谦卫生院,闽侯县祥谦卫生院,其他/其他,未知
福建省,福州市,闽侯县,闽侯县上街中心卫生院,闽侯县上街中心卫生院,其他/其他,未知
福建省,福州市,闽侯县,闽侯县甘蔗街道社区卫生服务中心,闽侯县甘蔗街道社区卫生服务中心,其他/其他,未知
福建省,福州市,闽侯县,闽侯县精神病院,闽侯县精神病院,公立/综合医院,未知
福建省,福州市,闽侯县,闽侯县祥谦医院,闽侯县祥谦医院,公立/综合医院,未知
福建省,福州市,闽侯县,闽侯县医院,闽侯县医院,公立/综合医院,未知
福建省,福州市,闽侯县,闽侯县皮肤防治院,闽侯县皮肤防治院,公立/综合医院,未知
福建省,福州市,闽侯县,闽侯县第二医院,闽侯县第二医院,公立/综合医院,一级乙等
