省,市,区,全名,别名,性质,等级
福建省,福州市,连江县,连江县妇幼保健院,连江县妇幼保健院,公立/综合医院,未知
福建省,福州市,连江县,连江县医院,连江县医院,公立/综合医院,二级甲等
福建省,福州市,连江县,连江县中医院,连江县中医院,公立/综合医院,二级甲等
福建省,福州市,连江县,连江部队医院,连江部队医院,公立/综合医院,未知
福建省,福州市,连江县,连江县敖江卫生院,连江县敖江卫生院,其他/其他,未知
福建省,福州市,连江县,连江县坑园卫生院,连江县坑园卫生院,其他/其他,未知
福建省,福州市,连江县,连江县晓澳卫生院,连江县晓澳卫生院,其他/其他,未知
福建省,福州市,连江县,连江县小沧卫生院,福州市连江县小沧卫生院（畲族乡）,其他/其他,未知
福建省,福州市,连江县,连江县东岱卫生院,连江县东岱卫生院,其他/其他,未知
福建省,福州市,连江县,连江县下宫卫生院,连江县下宫卫生院,其他/其他,未知
福建省,福州市,连江县,连江县筱埕卫生院,连江县筱埕卫生院,其他/其他,未知
福建省,福州市,连江县,连江县安凯卫生院,连江县安凯卫生院,其他/其他,未知
福建省,福州市,连江县,连江县马鼻卫生院,连江县马鼻卫生院,其他/其他,未知
福建省,福州市,连江县,连江县透堡卫生院,连江县透堡卫生院,其他/其他,未知
福建省,福州市,连江县,连江县长龙卫生院,连江县长龙卫生院,其他/其他,未知
福建省,福州市,连江县,连江县蓼沿卫生院,连江县蓼沿卫生院,其他/其他,未知
福建省,福州市,连江县,连江县东湖卫生院,连江县东湖卫生院,其他/其他,未知
福建省,福州市,连江县,,,,
