省,市,区,全名,别名,性质,等级
福建省,福州市,罗源县,罗源县医院,罗源县医院,公立/综合医院,未知
福建省,福州市,罗源县,罗源县妇幼保健院,罗源县妇幼保健院,公立/综合医院,未知
福建省,福州市,罗源县,罗源县中医院,罗源县中医院,公立/综合医院,二级甲等
福建省,福州市,罗源县,鉴江卫生院,罗源鉴江卫生院,其他/其他,未知
福建省,福州市,罗源县,霍口卫生院,福建省罗源县霍口畲族乡卫生院,其他/其他,未知
福建省,福州市,罗源县,西兰卫生院,福建省罗源县西兰卫生院,其他/其他,未知
福建省,福州市,罗源县,白塔卫生院,福州市白塔卫生院,其他/其他,未知
福建省,福州市,罗源县,起步卫生院,福建省罗源县起步卫生院,其他/其他,未知
福建省,福州市,罗源县,碧里卫生院,福建省罗源县碧里卫生院,其他/其他,未知
福建省,福州市,罗源县,松山卫生院,福建省罗源县松山卫生院,其他/其他,未知
福建省,福州市,罗源县,洪洋卫生院,福建省罗源县洪洋卫生院,其他/其他,未知
福建省,福州市,罗源县,飞竹中心卫生院,罗源县飞竹中心卫生院,其他/其他,未知
福建省,福州市,罗源县,中房中心卫生院,福建省罗源县中房中心卫生院,其他/其他,未知
福建省,福州市,罗源县,罗源县凤山社区卫生服务中心,罗源县凤山社区卫生服务中心,其他/其他,未知
