省,市,区,全名,别名,性质,等级
福建省,福州市,闽清县,闽清县白中中医院,闽清县白中中医院,公立/综合医院,未知
福建省,福州市,闽清县,闽清县六都医院,闽清县六都医院,公立/综合医院,未知
福建省,福州市,闽清县,闽清县精神病院,闽清县精神病院,公立/综合医院,未知
福建省,福州市,闽清县,闽清县皮肤病防治院,闽清县皮肤病防治院,公立/综合医院,未知
福建省,福州市,闽清县,闽清县中医院,闽清县中医院,公立/综合医院,未知
福建省,福州市,闽清县,闽清县医院,闽清县医院,公立/综合医院,二级甲等
福建省,福州市,闽清县,福建省闽清精神病防治院,福建省闽清精神病防治院,公立/专科医院,三级乙等
福建省,福州市,闽清县,闽清县三溪卫生院,闽清县三溪卫生院,其他/其他,未知
福建省,福州市,闽清县,闽清县雄江卫生院,闽清县雄江卫生院,其他/其他,未知
福建省,福州市,闽清县,闽清县桔林卫生院,闽清县桔林卫生院,其他/其他,未知
福建省,福州市,闽清县,闽清县下祝卫生院,闽清县下祝卫生院,其他/其他,未知
福建省,福州市,闽清县,闽清县坂东卫生院,闽清县坂东卫生院,其他/其他,未知
福建省,福州市,闽清县,闽清县省璜卫生院,闽清县省璜卫生院,其他/其他,未知
福建省,福州市,闽清县,闽清县上莲卫生院,闽清县上莲卫生院,其他/其他,未知
福建省,福州市,闽清县,闽清县金沙卫生院,闽清县金沙卫生院,其他/其他,未知
福建省,福州市,闽清县,闽清县云龙卫生院,闽清县云龙卫生院,其他/其他,未知
福建省,福州市,闽清县,闽清县白中卫生院,闽清县白中卫生院,其他/其他,未知
福建省,福州市,闽清县,闽清县白樟卫生院,闽清县白樟卫生院,其他/其他,未知
福建省,福州市,闽清县,闽清县梅溪卫生院,闽清县梅溪卫生院,其他/其他,未知
福建省,福州市,闽清县,闽清县东桥中心卫生院,闽清县东桥中心卫生院,其他/其他,未知
福建省,福州市,闽清县,闽清县塔庄中心卫生院,闽清县塔庄中心卫生院,其他/其他,未知
福建省,福州市,闽清县,闽清县池园中心卫生院,闽清县池园镇中心卫生院,其他/其他,未知
福建省,福州市,闽清县,闽清县梅城社区卫生服务中心,闽清县梅城社区卫生服务中心,其他/其他,未知
