省,市,区,全名,别名,性质,等级
福建省,福州市,永泰县,永泰县嵩口医院,永泰县嵩口医院,公立/综合医院,未知
福建省,福州市,永泰县,永泰县中医院,永泰县中医院,公立/综合医院,未知
福建省,福州市,永泰县,永泰县妇幼保健所,永泰县妇幼保健所,公立/综合医院,未知
福建省,福州市,永泰县,永泰县医院,永泰县医院,公立/综合医院,二级甲等
福建省,福州市,永泰县,永泰县东洋卫生院,永泰县东洋卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县伏口卫生院,永泰县伏口乡卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县塘前卫生院,永泰县塘前卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县丹云卫生院,永泰县丹云卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县葛岭卫生院,永泰县葛岭卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县白云卫生院,永泰县白云卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县富泉卫生院,永泰县富泉卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县红星卫生院,永泰县红星卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县盘谷卫生院,永泰县盘谷卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县霞拔卫生院,永泰县霞拔卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县同安卫生院,永泰县同安卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县长庆卫生院,永泰县长庆卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县盖洋卫生院,永泰县盖洋卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县赤锡卫生院,永泰县赤锡卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县岭路卫生院,永泰县岭路卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县清凉卫生院,永泰县清凉卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县梧桐卫生院,永泰县梧桐卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县城峰卫生院,永泰县城峰卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县大洋中心卫生院,永泰县大洋中心卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县嵩口中心卫生院,永泰县嵩口中心卫生院,其他/其他,未知
福建省,福州市,永泰县,永泰县樟城社区卫生服务中心,福州市永泰县樟城社区卫生服务中心,其他/其他,未知
