省,市,区,全名,别名,性质,等级
福建省,厦门市,海沧区,厦门市海沧医院,厦门市海沧医院,公立/综合医院,未知
福建省,厦门市,海沧区,厦门海沧新阳医院,厦门海沧新阳医院,民营/综合医院,二级乙等
福建省,厦门市,海沧区,厦门市海沧区东孚卫生院,厦门市海沧区东孚卫生院,公立/综合医院,一级乙等
福建省,厦门市,海沧区,厦门市海沧区妇幼保健院,厦门市海沧区妇幼保健院,公立/综合医院,一级乙等
福建省,厦门市,海沧区,厦门市海沧区海沧街道石塘社区卫生服务中心,厦门市海沧区海沧街道石塘社区卫生服务中心,公立/综合医院,一级乙等
福建省,厦门市,海沧区,厦门市海沧区海沧街道海沧社区卫生服务中心,厦门市海沧区海沧街道海沧社区卫生服务中心,公立/综合医院,一级乙等
福建省,厦门市,海沧区,厦门长庚医院,厦门长庚医院,合资/综合医院,三级乙等
福建省,厦门市,海沧区,厦门海沧新阳医院（民营）,厦门海沧新阳医院,个体户/综合医院,一级甲等
福建省,厦门市,海沧区,厦门市海沧区疾病预防控制中心,厦门市海沧区疾病预防控制中心,其他/其他,未知
福建省,厦门市,海沧区,新阳社区卫生服务中心,新阳社区卫生服务中心,其他/其他,未知
