省,市,区,全名,别名,性质,等级
福建省,厦门市,同安区,厦门同安闽海医院,厦门同安闽海医院,公立/综合医院,一级甲等
福建省,厦门市,同安区,中国人民解放军海军同安闽海医院,闽海医院,公立/综合医院,一级乙等
福建省,厦门市,同安区,厦门市同安区妇幼保健院,厦门市同安区妇幼保健院,公立/综合医院,一级乙等
福建省,厦门市,同安区,厦门市同安区中医院,厦门市同安区中医院,公立/综合医院,二级甲等
福建省,厦门市,同安区,厦门市同安区医院,厦门市同安区医院,公立/综合医院,二级甲等
福建省,厦门市,同安区,厦门市第三医院,同安医院,公立/综合医院,三级乙等
福建省,厦门市,同安区,厦门市同安区疾病预防控制中心,厦门市同安区疾病预防控制中心,其他/其他,未知
福建省,厦门市,同安区,大同街道社区卫生服务中心,大同街道社区卫生服务中心,其他/其他,未知
福建省,厦门市,同安区,厦门同安城南医院,厦门同安城南医院,民营/综合医院,一级医院
福建省,厦门市,同安区,厦门天使妇产医院,厦门天使妇产医院,民营/专科医院,二级医院
福建省,厦门市,同安区,厦门市同安区皮肤病防治院,厦门市同安区皮肤病防治院,公立/综合医院,二级乙等
福建省,厦门市,同安区,厦门市翔安区大嶝医院,厦门市翔安区大嶝医院,公立/综合医院,一级乙等
福建省,厦门市,同安区,厦门市同安区莲花卫生院,厦门市同安区莲花卫生院,公立/综合医院,一级乙等
福建省,厦门市,同安区,厦门市同安区大同卫生院,厦门市同安区大同卫生院,公立/综合医院,一级乙等
福建省,厦门市,同安区,厦门市同安区洪塘卫生院,厦门市同安区洪塘卫生院,公立/综合医院,一级乙等
福建省,厦门市,同安区,厦门市翔安区新圩中心卫生院,厦门市翔安区新圩中心卫生院,公立/综合医院,一级乙等
福建省,厦门市,同安区,厦门市同安区五显卫生院,厦门市同安区五显卫生院,公立/综合医院,一级乙等
福建省,厦门市,同安区,厦门市同安区新民卫生院,厦门市同安区新民卫生院,公立/综合医院,一级乙等
福建省,厦门市,同安区,厦门市同安区西柯中心卫生院,厦门市同安区西柯中心卫生院,公立/综合医院,一级乙等
福建省,厦门市,同安区,厦门市同安区汀溪卫生院,厦门市同安区汀溪卫生院,公立/综合医院,一级乙等
福建省,厦门市,同安区,厦门市同安区大同卫生院祥平街道社区卫生服务中心,厦门市同安区大同卫生院祥平街道社区卫生服务中心,公立/综合医院,一级乙等
福建省,厦门市,同安区,厦门市医药研究所综合门诊部,厦门市医药研究所综合门诊部,公立/综合医院,一级乙等
福建省,厦门市,同安区,厦门同安博爱医院,厦门同安博爱医院,公立/综合医院,一级乙等
