省,市,区,全名,别名,性质,等级
福建省,莆田市,城厢区,莆田市北岸医院,莆田市北岸医院,公立/综合医院,未知
福建省,莆田市,城厢区,莆田市精神病防治院,莆田市精神病防治院,公立/综合医院,未知
福建省,莆田市,城厢区,莆田县中医院,莆田县中医院,公立/综合医院,未知
福建省,莆田市,城厢区,莆田市皮肤病防治院,莆田市皮肤病防治院,公立/综合医院,未知
福建省,莆田市,城厢区,莆田市城厢区中医院,莆田市城厢区中医院,公立/综合医院,未知
福建省,莆田市,城厢区,莆田市中医院,莆田市中医院,公立/综合医院,未知
福建省,莆田市,城厢区,莆田口腔专科医院,莆田口腔专科医院,民营/专科医院,未知
福建省,莆田市,城厢区,莆田市民族医院,莆田市民族医院,民营/综合医院,未知
福建省,莆田市,城厢区,莆田市第一医院,莆田市第一医院,公立/综合医院,三级甲等　　
福建省,莆田市,城厢区,莆田维纳斯整形美容医院,莆田维纳斯整形医院,民营/专科医院,民营医院
福建省,莆田市,城厢区,莆田仁德医院,莆田市仁德医院,民营/综合医院,民营医院
福建省,莆田市,城厢区,福仁医疗美容整形诊所,福仁医疗美容整形诊所,民营/其他,未知
福建省,莆田市,城厢区,莆田市妇幼保健院,莆田市妇幼保健院,公立/综合医院,一级甲等
福建省,莆田市,城厢区,南京军区福州总医院第九五分院,南京军区莆田九五医院,公立/综合医院,三级乙等
福建省,莆田市,城厢区,莆田生殖医学专科医院,莆田生殖医学专科医院,公立/专科医院,未知
