省,市,区,全名,别名,性质,等级
福建省,莆田市,荔城区,莆田市社会福利中心,莆田市福利院,民营/综合医院,一级甲等
福建省,莆田市,荔城区,莆田海峡整形美容医院,莆田海峡整形美容医院,民营/专科医院,民营医院
福建省,莆田市,荔城区,莆田雅美佳口腔专科医院,雅美佳口腔医院,民营/专科医院,未知
福建省,莆田市,荔城区,莆田荔城回春堂杏林综合门诊部,莆田回春堂,民营/门诊,未知
福建省,莆田市,荔城区,莆田市肿瘤防治院,莆田市肿瘤防治院,公立/专科医院,未知
福建省,莆田市,荔城区,莆田市荔城区盐场职工医院,莆田市荔城区盐场职工医院,公立/综合医院,未知
福建省,莆田市,荔城区,莆田市荔城区精神病防治院,莆田市荔城区精神病防治院,公立/综合医院,未知
福建省,莆田市,荔城区,莆田市荔城区医院,莆田市荔城区医院,公立/综合医院,二级甲等
福建省,莆田市,荔城区,莆田市肿瘤医院,莆田市肿瘤医院,其他/专科医院,未知
福建省,莆田市,荔城区,莆田市荔城区平民医院,莆田市荔城区平民医院,公立/综合医院,二级甲等
福建省,莆田市,荔城区,莆田学院附属医院,莆田学院附属医院,公立/综合医院,三级甲等　　
