省,市,区,全名,别名,性质,等级
福建省,泉州市,丰泽区,泉州丰泽欧菲医疗美容门诊部,泉州欧菲医疗美容医院,民营/综合医院,未知
福建省,泉州市,丰泽区,泉州欧亚泌尿专科医院,泉州欧亚男子医院,民营/专科医院,未知
福建省,泉州市,丰泽区,华侨大学医院,华侨大学校医院,公立/综合医院,二级甲等
福建省,泉州市,丰泽区,泉州五官科医院,泉州五官科医院,个体户/综合医院,未知
福建省,泉州市,丰泽区,解放军第180医院,180医院,公立/综合医院,三级甲等　　
福建省,泉州市,丰泽区,丰泽区城东街道社区卫生服务中心,丰泽区城东街道社区卫生服务中心,民营/综合医院,一级甲等
福建省,泉州市,丰泽区,国立华侨大学医院,国立华侨大学医院,公立/综合医院,一级甲等
福建省,泉州市,丰泽区,泉州丰泽医博医院,泉州医博医院,民营/综合医院,未评级
福建省,泉州市,丰泽区,泉州丰泽男健医院,泉州男健男科医院,其他/综合医院,未知
福建省,泉州市,丰泽区,泉州东方九龙男科,泉州东方九龙男科医院,民营/专科医院,民营医院
福建省,泉州市,丰泽区,泉州丰泽海体健康门诊部,泉州海体健康体检中心,民营/门诊,未评级
福建省,泉州市,丰泽区,泉州济民耳鼻喉专科医院,泉州济民耳鼻喉医院,合资/专科医院,民营医院
福建省,泉州市,丰泽区,泉州长庚耳鼻喉专科医院,泉州长庚耳鼻喉专科医院,民营/专科医院,民营医院
福建省,泉州市,丰泽区,泉州市正骨医院,泉州市正骨医院,公立/专科医院,二级甲等
福建省,泉州市,丰泽区,泉州市妇幼保健院,泉州儿童医院,公立/专科医院,二级甲等
福建省,泉州市,丰泽区,泉州市中医院,泉州市中医院,公立/综合医院,三级乙等
福建省,泉州市,丰泽区,泉州南亚医院,泉州南亚医院,民营/综合医院,未评级
福建省,泉州市,丰泽区,泉州丰泽逸肤中医专科医院,泉州逸肤中医皮肤病医院,其他/专科医院,未评级
福建省,泉州市,丰泽区,泉州丰泽上医馆中医门诊部,泉州上医馆,民营/门诊,民营医院
福建省,泉州市,丰泽区,中国人民解放军第一八○医院,中国人民解放军第一八○医院,公立/综合医院,一级甲等
福建省,泉州市,丰泽区,泉州丰泽东大医疗美容门诊部,泉州丰泽东大医疗美容门诊部,民营/门诊,未知
福建省,泉州市,丰泽区,泉州丰泽玛丽医院,泉州玛丽医院,民营/专科医院,未知
福建省,泉州市,丰泽区,泉州市东南医院,泉州市东南医院,民营/综合医院,二级甲等
福建省,泉州市,丰泽区,泉州协和医院,泉州协和医院,民营/综合医院,未知
福建省,泉州市,丰泽区,泉州中山医院,泉州中山医院,民营/综合医院,未知
福建省,泉州市,丰泽区,泉州市南威医院,泉州市南威医院,民营/综合医院,民营医院
福建省,泉州市,丰泽区,泉州市丰泽区红十字医院,泉州市丰泽区红十字医院,民营/综合医院,未知
福建省,泉州市,丰泽区,泉州市残疾人康复中心,泉州市残疾人康复中心,公立/综合医院,未知
福建省,泉州市,丰泽区,泉州同仁医院,泉州同仁医院,民营/综合医院,未知
福建省,泉州市,丰泽区,泉州温陵医院,泉州温陵医院,民营/综合医院,未知
福建省,泉州市,丰泽区,泉州长庚耳鼻喉专科医院,泉州五官科医院,民营/综合医院,未知
福建省,泉州市,丰泽区,泉州市爱民医院,泉州市爱民医院,民营/综合医院,未知
福建省,泉州市,丰泽区,泉州市丰泽区医院,泉州市丰泽区医院,公立/综合医院,二级甲等
福建省,泉州市,丰泽区,福建中医学院附属泉州中医院,福建中医学院附属泉州中医院,公立/综合医院,三级乙等
福建省,泉州市,丰泽区,泉州180医院体检中心,泉州180医院体检中心,公立/综合医院,三级甲等　　
