省,市,区,全名,别名,性质,等级
福建省,泉州市,惠安县,惠安海峡医院,惠安海峡医院,其他/综合医院,未评级
福建省,泉州市,惠安县,惠安市妇幼保健院,惠安市妇幼保健院,公立/综合医院,未知
福建省,泉州市,惠安县,惠安县玉埕医院,惠安县玉埕医院,公立/综合医院,一级甲等
福建省,泉州市,惠安县,惠安惠康医院,惠安惠康医院,民营/综合医院,民营医院
福建省,泉州市,惠安县,安溪县桃舟卫生院,安溪县桃舟卫生院,公立/综合医院,一级乙等
福建省,泉州市,惠安县,惠安县惠南华侨医院,惠安县惠南华侨医院,公立/综合医院,未知
福建省,泉州市,惠安县,惠安县惠东华侨医院,惠安县惠东华侨医院,公立/综合医院,未知
福建省,泉州市,惠安县,惠安县皮肤医院,惠安县皮肤医院,公立/综合医院,未知
福建省,泉州市,惠安县,惠安妇幼保健所,惠安妇幼保健所,公立/综合医院,未知
福建省,泉州市,惠安县,惠安惠兴医院,惠安惠兴医院,民营/综合医院,未知
福建省,泉州市,惠安县,惠安县洛江华侨医院,惠安县洛江华侨医院,公立/综合医院,未知
福建省,泉州市,惠安县,惠安县惠北华侨医院,惠安县惠北华侨医院,公立/综合医院,未知
福建省,泉州市,惠安县,惠安县精神病收容所,惠安县精神病收容所,公立/综合医院,未知
福建省,泉州市,惠安县,惠安县中医院,惠安县中医院,公立/综合医院,二级甲等
福建省,泉州市,惠安县,惠安县医院,惠安县医院,公立/综合医院,二级甲等
