省,市,区,全名,别名,性质,等级
福建省,漳州市,龙海市,漳州市第五医院,漳州市第五医院,民营/综合医院,二级医院
福建省,漳州市,龙海市,龙海友好妇产医院,龙海友好妇科医院,民营/专科医院,民营医院
福建省,漳州市,龙海市,漳州招商局经济技术开发区第一医院,漳州招商局经济技术开发区第一医院,公立/综合医院,二级医院
福建省,漳州市,龙海市,漳州角美祥英妇产医院,漳州角美祥英妇产医院,民营/专科医院,二级医院
福建省,漳州市,龙海市,漳州台商投资区角美社区卫生服务中心预防接种门诊,漳州台商投资区角美社区卫生服务中心预防接种门诊,其他/其他,未知
福建省,漳州市,龙海市,龙海市疾病预防控制中心,龙海市疾病预防控制中心,其他/其他,未知
福建省,漳州市,龙海市,龙海市隆教卫生院,龙海市隆教卫生院,公立/综合医院,一级医院
福建省,漳州市,龙海市,龙海市港尾卫生院,龙海市港尾卫生院,公立/综合医院,一级医院
福建省,漳州市,龙海市,龙海市浮宫卫生院,龙海市浮宫卫生院,公立/综合医院,一级医院
福建省,漳州市,龙海市,龙海市白水卫生院,龙海市白水卫生院,公立/综合医院,一级医院
福建省,漳州市,龙海市,龙海市东泗卫生院,龙海市东泗卫生院,公立/综合医院,一级医院
福建省,漳州市,龙海市,龙海市东园卫生院,龙海市东园卫生院,公立/综合医院,一级医院
福建省,漳州市,龙海市,龙海市海澄卫生院,龙海市海澄卫生院,公立/综合医院,一级医院
福建省,漳州市,龙海市,龙海市榜山卫生院,龙海市榜山卫生院,公立/综合医院,一级医院
福建省,漳州市,龙海市,龙海市紫泥卫生院,龙海市紫泥卫生院,公立/综合医院,一级医院
福建省,漳州市,龙海市,龙海市石码卫生院,龙海市石码卫生院,公立/综合医院,一级医院
福建省,漳州市,龙海市,龙海市卫生防疫站,龙海市卫生防疫站,公立/综合医院,一级医院
福建省,漳州市,龙海市,龙海市计生服务站,龙海市计生服务站,公立/综合医院,一级医院
福建省,漳州市,龙海市,龙海市双第华侨农场卫生院,龙海市双第华侨农场卫生院,公立/综合医院,一级医院
福建省,漳州市,龙海市,漳州龙池医院,漳州龙池医院,民营/综合医院,一级医院
福建省,漳州市,龙海市,龙海市九湖卫生院,龙海市九湖卫生院,公立/综合医院,一级医院
福建省,漳州市,龙海市,龙海市颜厝卫生院,龙海市颜厝卫生院,公立/综合医院,一级医院
福建省,漳州市,龙海市,龙海市程溪卫生院,龙海市程溪卫生院,公立/综合医院,一级医院
福建省,漳州市,龙海市,龙海市角美卫生院,龙海市角美卫生院,公立/综合医院,一级医院
福建省,漳州市,龙海市,龙海市玉珠脑病医疗研究所,龙海市玉珠脑病医疗研究所,公立/综合医院,未知
福建省,漳州市,龙海市,龙海市妇幼保健所,龙海市妇幼保健所,公立/综合医院,未知
福建省,漳州市,龙海市,龙海市第二医院,龙海市第二医院,公立/综合医院,二级乙等
福建省,漳州市,龙海市,龙海市第一医院,龙海市第一医院,公立/综合医院,二级甲等
福建省,漳州市,龙海市,龙海市中医院,龙海市中医院,公立/综合医院,二级甲等
福建省,漳州市,龙海市,龙海市笫一医院角美分院,龙海市笫一医院角美分院,公立/综合医院,一级甲等
福建省,漳州市,龙海市,漳州市第五医院,漳州市第五医院,民营/综合医院,二级医院
