省,市,区,全名,别名,性质,等级
福建省,漳州市,云霄县,云霄县下河中心卫生院世坂接种点,云霄县下河中心卫生院世坂接种点,其他/其他,未知
福建省,漳州市,云霄县,云霄县马铺乡卫生院乌螺接种点,云霄县马铺乡卫生院乌螺接种点,其他/其他,未知
福建省,漳州市,云霄县,云霄县马铺乡卫生院枧河接种点,云霄县马铺乡卫生院枧河接种点,其他/其他,未知
福建省,漳州市,云霄县,云霄县马铺乡卫生院峰头接种点,云霄县马铺乡卫生院峰头接种点,其他/其他,未知
福建省,漳州市,云霄县,云霄县马铺乡卫生院预防接种门诊,云霄县马铺乡卫生院预防接种门诊,其他/其他,未知
福建省,漳州市,云霄县,云霄县东厦镇卫生院竹塔接种门诊,云霄县东厦镇卫生院竹塔接种门诊,其他/其他,未知
福建省,漳州市,云霄县,云霄县东厦镇卫生院预防接种门诊,云霄县东厦镇卫生院预防接种门诊,其他/其他,未知
福建省,漳州市,云霄县,云霄县火田卫生院白石村级接种点,云霄县火田卫生院白石村级接种点,其他/其他,未知
福建省,漳州市,云霄县,云霄县火田镇卫生院西林接种点,云霄县火田镇卫生院西林接种点,其他/其他,未知
福建省,漳州市,云霄县,云霄县莆美镇卫生院第二接种门诊,云霄县莆美镇卫生院第二接种门诊,其他/其他,未知
福建省,漳州市,云霄县,云霄县莆美镇卫生院预防接种门诊,云霄县莆美镇卫生院预防接种门诊,其他/其他,未知
福建省,漳州市,云霄县,云霄县云陵社区卫生服务中心犬伤门诊,云霄县云陵社区卫生服务中心犬伤门诊,其他/其他,未知
福建省,漳州市,云霄县,云霄县云陵社区卫生服务中心预防接种门诊,云霄县云陵社区卫生服务中心预防接种门诊,其他/其他,未知
福建省,漳州市,云霄县,云霄县东厦卫生院,云霄县东厦卫生院,公立/综合医院,一级医院
福建省,漳州市,云霄县,云霄县和平卫生院,云霄县和平卫生院,公立/综合医院,一级医院
福建省,漳州市,云霄县,云霄县马铺卫生院,云霄县马铺卫生院,公立/综合医院,一级医院
福建省,漳州市,云霄县,云霄县火田镇卫生院,云霄县火田镇卫生院,公立/综合医院,一级医院
福建省,漳州市,云霄县,云霄县列屿卫生院,云霄县列屿卫生院,公立/综合医院,一级医院
福建省,漳州市,云霄县,云霄县莆美卫生院,云霄县莆美卫生院,公立/综合医院,一级医院
福建省,漳州市,云霄县,云霄县下河中心卫生院,云霄县下河中心卫生院,公立/综合医院,一级医院
福建省,漳州市,云霄县,云霄县陈岱中心卫生院,云霄县陈岱中心卫生院,公立/综合医院,一级医院
福建省,漳州市,云霄县,漳州市常山华侨经济开发区医院,漳州市常山华侨经济开发区医院,公立/综合医院,一级医院
福建省,漳州市,云霄县,云霄县疾病预防控制中心,云霄县疾病预防控制中心,其他/其他,未知
福建省,漳州市,云霄县,云霄县妇幼保健院,云霄县妇幼保健院,公立/综合医院,未知
福建省,漳州市,云霄县,云霄县医院,云霄县医院,公立/综合医院,二级甲等
福建省,漳州市,云霄县,云霄县中医院,云霄县中医院,公立/综合医院,二级甲等
福建省,漳州市,云霄县,云霄县妇幼保健所,云霄县妇幼保健所,公立/综合医院,二级甲等
