省,市,区,全名,别名,性质,等级
福建省,漳州市,诏安县,诏安县妇幼保健院,福建省诏安县妇幼保健所,公立/综合医院,一级医院
福建省,漳州市,诏安县,诏安县第二医院,诏安县第二医院,公立/综合医院,未知
福建省,漳州市,诏安县,诏安县医院,诏安县医院,公立/综合医院,二级甲等
福建省,漳州市,诏安县,诏安县中医院,诏安县中医院,公立/综合医院,二级甲等
福建省,漳州市,诏安县,诏安县秀篆卫生院预防接种门诊,诏安县秀篆卫生院预防接种门诊,其他/其他,未知
福建省,漳州市,诏安县,诏安县官陂卫生院预防接种门诊,诏安县官陂卫生院预防接种门诊,其他/其他,未知
福建省,漳州市,诏安县,诏安县太平卫生院预防接种门诊,诏安县太平卫生院预防接种门诊,其他/其他,未知
福建省,漳州市,诏安县,诏安县红星卫生院预防接种门诊,诏安县红星卫生院预防接种门诊,其他/其他,未知
福建省,漳州市,诏安县,诏安县建设卫生院预防接种门诊,诏安县建设卫生院预防接种门诊,其他/其他,未知
福建省,漳州市,诏安县,诏安县深桥卫生院预防接种门诊,诏安县深桥卫生院预防接种门诊,其他/其他,未知
福建省,漳州市,诏安县,诏安县桥东卫生院预防接种门诊,诏安县桥东卫生院预防接种门诊,其他/其他,未知
福建省,漳州市,诏安县,诏安县梅岭卫生院预防接种门诊,诏安县梅岭卫生院预防接种门诊,其他/其他,未知
福建省,漳州市,诏安县,诏安县金星卫生院预防接种门诊,诏安县金星卫生院预防接种门诊,其他/其他,未知
福建省,漳州市,诏安县,诏安县西潭卫生院,诏安县西潭卫生院,公立/综合医院,一级医院
福建省,漳州市,诏安县,诏安县四都卫生院,诏安县四都卫生院,公立/综合医院,一级医院
福建省,漳州市,诏安县,诏安县霞葛卫生院,诏安县霞葛卫生院,公立/综合医院,一级医院
福建省,漳州市,诏安县,诏安县南诏卫生院,诏安县南诏卫生院,公立/综合医院,一级医院
福建省,漳州市,诏安县,诏安县计生服务站,诏安县计生服务站,公立/专科医院,一级医院
福建省,漳州市,诏安县,诏安县华侨医院,福建省诏安华侨医院,民营/专科医院,一级医院
福建省,漳州市,诏安县,诏安县疾病预防控制中心,诏安县疾病预防控制中心,其他/其他,未知
