省,市,区,全名,别名,性质,等级
福建省,漳州市,长泰县,长泰县妇幼保健院,长泰县妇幼保健院,公立/妇幼保健医院,未知
福建省,漳州市,长泰县,长泰县兴泰社区卫生服务中心预防接种门诊,长泰县兴泰社区卫生服务中心预防接种门诊,其他/其他,未知
福建省,漳州市,长泰县,长泰县陈巷镇中心卫生院预防接种门诊,长泰县陈巷镇中心卫生院预防接种门诊,其他/其他,未知
福建省,漳州市,长泰县,长泰县岩溪镇卫生院预防接种门诊,长泰县岩溪镇卫生院预防接种门诊,其他/其他,未知
福建省,漳州市,长泰县,长泰县武安社区卫生服务中心预防接种门诊,长泰县武安社区卫生服务中心预防接种门诊,其他/其他,未知
福建省,漳州市,长泰县,长泰县眼科医院,长泰县眼科医院,公立/综合医院,一级医院
福建省,漳州市,长泰县,长泰县坂里卫生院,长泰县坂里卫生院,公立/综合医院,一级医院
福建省,漳州市,长泰县,长泰县林墩卫生院,长泰县林墩卫生院,公立/综合医院,一级医院
福建省,漳州市,长泰县,长泰县枋洋卫生院,长泰县枋洋卫生院,公立/综合医院,一级医院
福建省,漳州市,长泰县,长泰县陈巷卫生院,长泰县陈巷卫生院,公立/综合医院,一级医院
福建省,漳州市,长泰县,长泰县疾病预防控制中心,长泰县疾病预防控制中心,其他/其他,未知
福建省,漳州市,长泰县,长泰县中医院,长泰县中医院,公立/综合医院,未知
福建省,漳州市,长泰县,长泰县第二医院,长泰县第二医院,公立/综合医院,未知
福建省,漳州市,长泰县,长泰县医院,长泰县医院,公立/综合医院,二级乙等
福建省,漳州市,长泰县,长泰九龙医院,长泰九龙医院,其他/综合医院,未评级
福建省,漳州市,长泰县,长泰县坂里乡卫生院预防接种门诊,长泰县坂里乡卫生院预防接种门诊,其他/其他,未知
福建省,漳州市,长泰县,长泰县林墩工业区卫生院预防接种门诊,长泰县林墩工业区卫生院预防接种门诊,其他/其他,未知
福建省,漳州市,长泰县,长泰县枋洋镇卫生院预防接种门诊,长泰县枋洋镇卫生院预防接种门诊,其他/其他,未知
