省,市,区,全名,别名,性质,等级
福建省,南平市,延平区,南平市延平区时光医疗美容门诊部,南平市延平区时光医疗美容门诊部,其他/门诊,未评级
福建省,南平市,延平区,中国水利水电闽江工程局医院,中国水利水电闽江工程局医院,公立/综合医院,一级甲等
福建省,南平市,延平区,南平博爱肝病医院（民营）,南平博爱肝病医院,个体户/综合医院,一级甲等
福建省,南平市,延平区,延平协和中西医门诊部,南平协和男科,民营/门诊,民营医院
福建省,南平市,延平区,南平九二医院,南平九二医院,公立/综合医院,三级乙等
福建省,南平市,延平区,南平市人民医院,南平市人民医院,公立/综合医院,一级甲等
福建省,南平市,延平区,延平市医院,延平市医院,公立/综合医院,未知
福建省,南平市,延平区,南平市职业病防治院,南平市职业病防治院,公立/综合医院,未知
福建省,南平市,延平区,南平市皮肤病性病防治院,南平市皮肤病性病防治院,公立/综合医院,未知
福建省,南平市,延平区,南平市仁爱医院,南平市仁爱医院,民营/综合医院,未知
福建省,南平市,延平区,南平市兴华医院,南平市兴华医院,公立/综合医院,未知
福建省,南平市,延平区,南平市延平区医院,南平市延平区医院,公立/综合医院,二级甲等
福建省,南平市,延平区,南平市延平医院,南平市延平医院,公立/综合医院,未知
福建省,南平市,延平区,南平市精神收容所,南平市精神收容所,公立/综合医院,未知
福建省,南平市,延平区,南平博康医院,南平博康医院,民营/综合医院,未知
福建省,南平市,延平区,南平森工医院,南平森工医院,公立/综合医院,二级乙等
福建省,南平市,延平区,南平市中医院,南平市中医院,公立/综合医院,二级甲等
福建省,南平市,延平区,南平市妇幼保健院,南平市妇幼保健院,公立/综合医院,二级甲等
福建省,南平市,延平区,南平市第一医院,口士吡哩医院,公立/综合医院,三级甲等　　
福建省,南平市,延平区,中国人民解放军第九十二医院,中国人民解放军第九十二医院,公立/综合医院,一级甲等
