省,市,区,全名,别名,性质,等级
福建省,南平市,邵武市,邵武市森工医院,邵武市森工医院,公立/综合医院,未知
福建省,南平市,邵武市,邵武亿力医院,邵武亿力医院,公立/综合医院,未知
福建省,南平市,邵武市,邵武煤矿医院,邵武煤矿医院,公立/综合医院,未知
福建省,南平市,邵武市,邵武市精神病防治院,邵武市精神病防治院,公立/综合医院,未知
福建省,南平市,邵武市,邵武市妇幼保健院,邵武市妇幼保健院,公立/综合医院,一级甲等
福建省,南平市,邵武市,邵武市第二医院,邵武市第二医院,公立/综合医院,二级乙等
福建省,南平市,邵武市,邵武铁路医院,邵武铁路医院,公立/综合医院,二级乙等
福建省,南平市,邵武市,邵武市中医院,邵武市中医院,公立/综合医院,二级甲等
福建省,南平市,邵武市,邵武市立医院,邵武市立医院,公立/综合医院,二级甲等
福建省,南平市,邵武市,福建省邵武市人民医院,邵武人民医院,公立/综合医院,二级甲等
福建省,南平市,邵武市,邵武博爱医院,邵武博爱医院,民营/综合医院,一级乙等
福建省,南平市,邵武市,中国人民解放军九二医院邵武分院,中国人民解放军九二医院邵武分院,公立/综合医院,未知
