省,市,区,全名,别名,性质,等级
江西省,南昌市,西湖区,杭州华研白癜风医院,杭州白癜风医院_杭州白癜风专科医院,其他/专科医院,未知
江西省,南昌市,西湖区,杭州同济医院,杭州同济医院硬皮病科,其他/综合医院,未知
江西省,南昌市,西湖区,杭州市五云山疗养院,杭州市干部保健基地,公立/综合医院,一级甲等
江西省,南昌市,西湖区,西湖区妇幼保健所,西湖区妇幼保健所,公立/综合医院,一级甲等
江西省,南昌市,西湖区,杭州天目山医院（民营）,杭州天目山医院,个体户/综合医院,一级甲等
江西省,南昌市,西湖区,杭州华厦眼科医院,杭州华厦眼科医院,其他/专科医院,未评级
江西省,南昌市,西湖区,杭州美莱医疗美容医院,杭州美莱整形医院,民营/专科医院,民营医院
江西省,南昌市,西湖区,杭州市西湖区转塘社区卫生服务中心,杭州市西湖区转塘社区卫生服务中心,其他/其他,未知
江西省,南昌市,西湖区,杭州市西湖区蒋村(文新)街道社区卫生服务中心,杭州市西湖区蒋村(文新)街道社区卫生服务中心,其他/其他,未知
江西省,南昌市,西湖区,杭州市西湖区翠苑地段社区卫生服务中心,杭州市西湖区翠苑地段社区卫生服务中心,其他/其他,未知
江西省,南昌市,西湖区,浙江省医学科学院门诊部,浙江省医学科学院门诊部,其他/其他,未知
江西省,南昌市,西湖区,浙江绿城医院,浙江绿城医院,其他/其他,未知
江西省,南昌市,西湖区,浙江大学校医院（玉泉校区）,浙江大学校医院（玉泉校区）,其他/综合医院,二级甲等
江西省,南昌市,西湖区,浙江慈爱康复医院,浙江慈爱康复医院,其他/专科医院,未知
江西省,南昌市,西湖区,杭州西溪医院,杭州市第六人民医院,公立/其他,三级甲等　　
江西省,南昌市,西湖区,杭州桐君堂中医门诊部,杭州桐君堂中医门诊部,其他/门诊,未知
江西省,南昌市,西湖区,杭州钱塘医疗门诊部,杭州钱塘医疗门诊部,其他/门诊,未知
江西省,南昌市,西湖区,杭州口腔医院城西分院,杭州口腔医院城西分院,其他/专科医院,未知
江西省,南昌市,西湖区,杭州时光医疗美容医院,杭州时光医疗美容医院,个体户/综合医院,一级甲等
江西省,南昌市,西湖区,浙江中医药大学附属第三医院,浙江省针灸推拿医院、浙江省中山医院,公立/综合医院,三级甲等　　
江西省,南昌市,西湖区,杭州康源口腔医疗文二路口腔门诊部,杭州康源口腔,民营/门诊,民营医院
江西省,南昌市,西湖区,杭州美奥健康管理学院路口腔门诊部,美奥口腔,民营/专科医院,未知
江西省,南昌市,西湖区,杭州哼哈口腔医院,杭州哼哈口腔医院,公立/综合医院,未知
江西省,南昌市,西湖区,杭州正大医院,杭州正大医院,公立/综合医院,未知
江西省,南昌市,西湖区,浙江省建工医院,浙江省建工医院,公立/综合医院,未知
江西省,南昌市,西湖区,杭州市第三人民医院,杭州市第三人民医院,公立/综合医院,未知
江西省,南昌市,西湖区,浙江省同德医院第二门诊部,浙江省同德医院第二门诊部,公立/综合医院,未知
江西省,南昌市,西湖区,浙江水电职业病医院,浙江水电职业病医院,公立/综合医院,未知
江西省,南昌市,西湖区,杭州市西湖区妇幼保健院,杭州市西湖区妇幼保健院,公立/综合医院,未知
江西省,南昌市,西湖区,杭州市西湖区红十字会医院,杭州市西湖区红十字会医院,公立/综合医院,未知
江西省,南昌市,西湖区,杭州市西湖区中医院,杭州市西湖区中医院,公立/综合医院,未知
江西省,南昌市,西湖区,杭州市西湖区第二人民医院,杭州市西湖区第二人民医院,公立/综合医院,未知
江西省,南昌市,西湖区,浙江省省立同德医院第二门诊部,浙江省省立同德医院第二门诊部,公立/综合医院,未知
江西省,南昌市,西湖区,杭州市横河医院,杭州市横河医院,公立/综合医院,未知
江西省,南昌市,西湖区,浙江省水利水电工程局职工医院,浙江省水利水电工程局职工医院,公立/综合医院,未知
江西省,南昌市,西湖区,浙江省国土资源厅职工医院,浙江省国土资源厅职工医院,公立/综合医院,未知
江西省,南昌市,西湖区,杭州市西湖区留下人民医院,杭州市西湖区留下人民医院,公立/综合医院,未知
江西省,南昌市,西湖区,杭州市西湖区第三人民医院,杭州市西湖区第三人民医院,公立/综合医院,未知
江西省,南昌市,西湖区,杭州市聋儿康复中心,杭州市聋儿康复中心,公立/综合医院,未知
江西省,南昌市,西湖区,杭州市化工职业病防治所,杭州市化工职业病防治所,公立/综合医院,未知
江西省,南昌市,西湖区,浙江大学医学院附属口腔医院,浙江省口腔医院,公立/专科医院,未知
江西省,南昌市,西湖区,浙江大学校医院,浙江大学校医院,公立/综合医院,二级甲等
江西省,南昌市,西湖区,浙江医院分院,浙江医院分院,公立/综合医院,二级甲等
江西省,南昌市,西湖区,杭州市西湖区人民医院,杭州市西湖区人民医院,公立/综合医院,二级甲等
江西省,南昌市,西湖区,杭州市妇幼保健院,杭州市妇幼保健院,公立/综合医院,二级甲等
江西省,南昌市,西湖区,杭州市第一人民医院,杭州市第一人民医院,公立/综合医院,三级甲等　　
江西省,南昌市,西湖区,浙江医院,浙江医院,公立/综合医院,三级甲等　　
江西省,南昌市,西湖区,中国人民解放军第117医院,中国人民解放军第117医院,公立/综合医院,三级甲等　　
江西省,南昌市,西湖区,浙江中医药大学附属广兴医院,浙江中医药大学附属广兴医院,公立/综合医院,三级甲等　　
江西省,南昌市,西湖区,浙江省立同德医院,浙江省立同德医院,公立/综合医院,三级甲等　　
江西省,南昌市,西湖区,杭州市中医院,浙江中医药大学附属广兴医院,公立/综合医院,三级甲等　　
