省,市,区,全名,别名,性质,等级
江西省,南昌市,东湖区,江西省商业医院,江西省南昌市东湖区,民营/未知,未知
江西省,南昌市,东湖区,南昌博美医疗整形美容医院,南昌博美整形美容,其他/其他,未评级
江西省,南昌市,东湖区,江西省军区医院,江西省军区精神科医院,其他/综合医院,未评级
江西省,南昌市,东湖区,南昌东大肛肠专科医院,南昌东大肛肠医院,其他/专科医院,民营医院
江西省,南昌市,东湖区,南昌二七医院,南昌精神病医院（江西省精神卫生防治干预中心）,其他/专科医院,二级甲等
江西省,南昌市,东湖区,鹏爱医疗美容门诊部,鹏爱医疗美容门诊部,其他/门诊,未评级
江西省,南昌市,东湖区,南昌军康医院,南昌妇科医院,其他/专科医院,未评级
江西省,南昌市,东湖区,南昌市第十医院,南昌市第十医院,公立/综合医院,未知
江西省,南昌市,东湖区,南昌市妇幼保健所,南昌市妇幼保健所,公立/专科医院,三级乙等
江西省,南昌市,东湖区,南昌市洪都中医院,南昌市洪都中医院,公立/综合医院,未知
江西省,南昌市,东湖区,南昌市第二按摩医院,南昌市第二按摩医院,公立/综合医院,未知
江西省,南昌市,东湖区,南昌市第二中西医结合医院,南昌市第二中西医结合医院,公立/综合医院,未知
江西省,南昌市,东湖区,南昌市按摩医院,南昌市按摩医院,公立/综合医院,未知
江西省,南昌市,东湖区,南昌市妇幼保健院,南昌市妇幼保健院,公立/综合医院,未知
江西省,南昌市,东湖区,南昌高新医院,南昌高新医院,合资/综合医院,未知
江西省,南昌市,东湖区,南昌市第八医院,南昌市东湖医院,公立/综合医院,一级甲等
江西省,南昌市,东湖区,江西凤凰第一医院,江西凤凰第一医院,公立/综合医院,二级甲等
江西省,南昌市,东湖区,江西棉纺织印染厂职工医院,江西棉纺织印染厂职工医院,公立/综合医院,二级甲等
江西省,南昌市,东湖区,江西省儿童医院,江西省儿童医院,公立/综合医院,三级甲等　　
江西省,南昌市,东湖区,江西省中西医结合医院,江西省中西医结合医院,公立/综合医院,未知
江西省,南昌市,东湖区,南昌市第二中西医结合医院,南昌市第二中西医结合医院,公立/综合医院,未知
江西省,南昌市,东湖区,南昌市第一医院,南昌大学第三附属医院,公立/综合医院,三级甲等　　
江西省,南昌市,东湖区,南昌大学第二附属医院,南昌大学第二附属医院,公立/综合医院,三级甲等　　
江西省,南昌市,东湖区,南昌大学第一附属医院,南昌大学第一附属医院,公立/综合医院,三级甲等　　
江西省,南昌市,东湖区,江西省胸科医院,江西省第三人民医院,公立/综合医院,三级甲等　　
江西省,南昌市,东湖区,南昌大学附属口腔医院,南昌大学附属口腔医院,公立/专科医院,三级甲等　　
江西省,南昌市,东湖区,江西省人民医院,江西省人民医院,公立/综合医院,三级甲等　　
江西省,南昌市,东湖区,江西医学院第二附属医院,江西医学院第二附属医院,公立/综合医院,三级甲等　　
江西省,南昌市,东湖区,江西医学院第一附属医院,江西医学院第一附属医院,公立/综合医院,三级甲等　　
江西省,南昌市,东湖区,江西同仁中西医门诊部,江西同仁门诊部,公立/综合医院,一级甲等
江西省,南昌市,东湖区,南昌博爱泌尿专科医院,南昌博爱泌尿专科医院,个体户/专科医院,未知
江西省,南昌市,东湖区,南昌市第八人民医院,南昌市第八人民医院,公立/综合医院,未知
