省,市,区,全名,别名,性质,等级
江西省,南昌市,青云谱区,解放军第九四医院,南昌九四医院（南昌94医院）,公立/综合医院,三级甲等　　
江西省,南昌市,青云谱区,南昌华山生殖医院,南昌华山医院,民营/专科医院,未知
江西省,南昌市,青云谱区,南昌博大耳鼻喉医院,南昌耳鼻喉医院,公立/专科医院,一级甲等
江西省,南昌市,青云谱区,南昌长峰医院,南昌长峰医院,民营/专科医院,未知
江西省,南昌市,青云谱区,江西锅炉化工石油机械联合公司职工医院,江西锅炉化工石油机械联合公司职工医院,公立/综合医院,未知
江西省,南昌市,青云谱区,南昌华夏医院,南昌市青云谱区妇幼保健院,公立/综合医院,二级甲等
江西省,南昌市,青云谱区,南昌男性医院,南昌男科医院,公立/专科医院,未知
江西省,南昌市,青云谱区,南昌市结石病专科医院,南昌市结石病专科医院,公立/综合医院,未知
江西省,南昌市,青云谱区,南昌市第五医院,南昌第五医院,公立/综合医院,二级甲等
江西省,南昌市,青云谱区,南昌三三四医院,南昌三三四医院,公立/综合医院,二级甲等
江西省,南昌市,青云谱区,武警江西总队医院,江西省武警总队医院,公立/综合医院,三级乙等
江西省,南昌市,青云谱区,江西仁济医院南昌三三四医院,江西仁济医院南昌三三四医院,合资/综合医院,三级甲等　　
江西省,南昌市,青云谱区,南昌市男科医院,南昌市医学科学研究所附属医院,公立/综合医院,一级甲等
江西省,南昌市,青云谱区,南昌回春堂风湿病中医专科医院,南昌回春堂风湿病医院,合资/专科医院,未知
江西省,南昌市,青云谱区,南昌佳美美容医院,南昌佳美整形美容医院,个体户/综合医院,一级甲等
江西省,南昌市,青云谱区,南昌军民医院,中华精神卫生研究院,公立/综合医院,未知
