省,市,区,全名,别名,性质,等级
江西省,南昌市,南昌县,南昌铁路局南昌铁路中心医院,南昌铁路局南昌铁路中心医院,公立/综合医院,二级乙等
江西省,南昌市,南昌县,南昌铁路局鹰潭医院,南昌铁路局鹰潭医院,公立/综合医院,二级甲等
江西省,南昌市,南昌县,南昌铁路局上饶医院,南昌铁路局上饶医院,公立/综合医院,未知
江西省,南昌市,南昌县,南昌市中医院,南昌市中医院,公立/综合医院,一级甲等
江西省,南昌市,南昌县,南昌县塔城乡卫生院,南昌县塔城乡卫生院,公立/综合医院,一级甲等
江西省,南昌市,南昌县,南昌县向塘医院,南昌县向塘医院,公立/综合医院,未知
江西省,南昌市,南昌县,江西省蚕桑茶叶研究所职工医院,江西省蚕桑茶叶研究所职工医院,公立/综合医院,未知
江西省,南昌市,南昌县,南昌县妇幼保健所,南昌县妇幼保健所,公立/综合医院,未知
江西省,南昌市,南昌县,南昌县向塘中心医院,南昌县向塘中心医院,公立/综合医院,未知
江西省,南昌市,南昌县,南昌大学向塘医院,向塘铁路医院,公立/综合医院,二级乙等
江西省,南昌市,南昌县,南昌县中医院,南昌县中医院,公立/综合医院,二级甲等
江西省,南昌市,南昌县,南昌县人民医院,南昌县人民医院,公立/综合医院,二级甲等
江西省,南昌市,南昌县,江西省水电工程局职工医院,江西省水电工程局职工医院,公立/综合医院,未知
