省,市,区,全名,别名,性质,等级
江西省,萍乡市,安源区,湘雅萍矿合作医院,湘雅萍矿合作医院,公立/综合医院,一级甲等
江西省,萍乡市,安源区,江西省萍乡高坑中心卫生院,江西省萍乡高坑中心卫生院,公立/综合医院,一级甲等
江西省,萍乡市,安源区,安源区妇幼保健院,安源区妇幼保健院,公立/综合医院,未知
江西省,萍乡市,安源区,萍乡市东方医院,萍乡市东方医院,民营/综合医院,未知
江西省,萍乡市,安源区,萍乡市人民医院金陵分院,萍乡市人民医院金陵分院,公立/综合医院,未知
江西省,萍乡市,安源区,萍乡市铁路医院,萍乡市铁路医院,公立/综合医院,二级甲等
江西省,萍乡市,安源区,萍乡市第三人民医院,萍乡市第三人民医院,公立/综合医院,二级甲等
江西省,萍乡市,安源区,萍乡市第二人民医院,萍乡市第二人民医院,公立/综合医院,三级乙等
江西省,萍乡市,安源区,萍乡矿业集团有限公司总医院,萍乡矿业集团有限公司总医院,公立/综合医院,三级乙等
江西省,萍乡市,安源区,萍乡市妇幼保健院,萍乡市妇女儿童医院,公立/综合医院,三级乙等
江西省,萍乡市,安源区,萍乡市中医院,萍乡市中医院,公立/综合医院,三级乙等
江西省,萍乡市,安源区,萍乡矿业集团有限责任公司总医院,萍乡矿业集团有限责任公司总医院,公立/综合医院,三级乙等
江西省,萍乡市,安源区,萍乡市人民医院,萍乡市人民医院,公立/综合医院,三级甲等　　
江西省,萍乡市,安源区,萍乡矿业集团有限责任公司第二医院,萍乡矿业集团有限责任公司第二医院,公立/综合医院,一级甲等
江西省,萍乡市,安源区,南昌大学萍乡医院,萍乡铁路医院,公立/综合医院,二级甲等
江西省,萍乡市,安源区,萍乡新世纪泌尿专科医院,萍乡新世纪男科医院,其他/专科医院,未评级
