省,市,区,全名,别名,性质,等级
江西省,九江市,浔阳区,九江石化医院,九江石化医院,公立/综合医院,二级甲等
江西省,九江市,浔阳区,九江市第五人民医院,九江市精神病医院,公立/综合医院,二级甲等
江西省,九江市,浔阳区,九江市妇幼保健院,九江市妇幼保健院,公立/综合医院,二级甲等
江西省,九江市,浔阳区,江西共青城人民医院,江西共青城人民医院,公立/综合医院,二级甲等
江西省,九江市,浔阳区,九江市妇女儿童医院,九江市妇女儿童医院,公立/综合医院,二级甲等
江西省,九江市,浔阳区,九江市第一人民医院,九江市生命活水医院,公立/综合医院,三级甲等　　
江西省,九江市,浔阳区,浔阳区人民医院,浔阳区人民医院,公立/综合医院,二级甲等
江西省,九江市,浔阳区,中国人民解放军第一七一医院,中国人民解放军第一七一医院,公立/综合医院,一级甲等
江西省,九江市,浔阳区,九江仁爱医院,九江仁爱医院,民营/综合医院,民营医院
江西省,九江市,浔阳区,九江协和医疗美容门诊部,九江协和医院,民营/专科医院,民营医院
江西省,九江市,浔阳区,九江台美医疗美容门诊部,九江台美医疗美容门诊部,民营/门诊,未评级
江西省,九江市,浔阳区,浔阳区协和瑞美医疗美容门诊部,浔阳区协和瑞美医疗美容门诊部,民营/门诊,未知
江西省,九江市,浔阳区,九江市中医院,九江市中医院,公立/综合医院,二级乙等
江西省,九江市,浔阳区,九江学院附属医院,九江学院附属医院,公立/综合医院,三级甲等　　
