省,市,区,全名,别名,性质,等级
江西省,赣州市,章贡区,赣州市红十字会医院,赣州市红十字会医院,公立/综合医院,一级甲等
江西省,赣州市,章贡区,赣州皮肤门诊部,赣医皮肤病研究院,其他/专科医院,未评级
江西省,赣州市,章贡区,赣州市立医院,仁爱医院,公立/综合医院,三级甲等　　
江西省,赣州市,章贡区,赣州现代泌尿专科医院,赣州男科医院,其他/专科医院,未评级
江西省,赣州市,章贡区,赣州华厦眼科医院,赣州华厦眼科医院,民营/专科医院,未评级
江西省,赣州市,章贡区,赣州市第一人民医院,赣州市立医院,公立/综合医院,三级乙等
江西省,赣州市,章贡区,赣州市康复医院,赣州康复医院,民营/综合医院,民营医院
江西省,赣州市,章贡区,赣州市肿瘤医院,赣州市三六二医院,公立/专科医院,二级甲等
江西省,赣州市,章贡区,赣州市妇幼保健院,赣州市妇女儿童医院,公立/综合医院,二级甲等
江西省,赣州市,章贡区,赣州市中西医结合医院,赣州市中西医结合医院,公立/综合医院,二级甲等
江西省,赣州市,章贡区,赣州市中医院,赣州市中医院,公立/综合医院,二级甲等
江西省,赣州市,章贡区,赣州地区妇幼保健院,赣州地区妇幼保健院,公立/综合医院,二级甲等
江西省,赣州市,章贡区,赣州市人民医院,赣州地区人民医院,公立/综合医院,三级甲等　　
江西省,赣州市,章贡区,赣南中西医结合医院,赣州市人民医院分院,民营/综合医院,民营医院
江西省,赣州市,章贡区,赣州市第五人民医院,赣州市肝病医院、赣州市肺科医院,公立/综合医院,一级甲等
江西省,赣州市,章贡区,章贡区瑶芳美容中心,赣州瑶芳专业祛痘美容院,民营/其他,未评级
江西省,赣州市,章贡区,赣州市皮肤病医院,赣州市皮肤病医院,公立/专科医院,未知
江西省,赣州市,章贡区,赣州济世堂门诊部,赣州济世堂,民营/门诊,民营医院
江西省,赣州市,章贡区,赣州中医院,赣州中医院,公立/综合医院,一级甲等
江西省,赣州市,章贡区,赣州厚德医院,赣州厚德医院专家门诊,其他/其他,未知
