省,市,区,全名,别名,性质,等级
江西省,吉安市,吉州区,吉安结石病医院,结石病专科医院,合资/专科医院,民营医院
江西省,吉安市,吉州区,国营红声器材厂职工医院,国营红声器材厂职工医院,公立/综合医院,一级甲等
江西省,吉安市,吉州区,吉安市吉州医院,吉安市吉州医院,公立/综合医院,未知
江西省,吉安市,吉州区,吉安男科医院,吉安男科医院,其他/专科医院,未知
江西省,吉安市,吉州区,吉安市中心人民医院,吉安市中心人民医院,公立/综合医院,三级乙等
江西省,吉安市,吉州区,吉安市中医院,吉安市中医院,公立/综合医院,二级甲等
江西省,吉安市,吉州区,吉安市第二人民医院,吉安二院,公立/综合医院,二级乙等
江西省,吉安市,吉州区,吉安市第三人民医院,吉安吉州医院,公立/综合医院,二级甲等
江西省,吉安市,吉州区,吉安市第一人民医院,吉安市第一人民医院,公立/综合医院,二级甲等
江西省,吉安市,吉州区,井冈山大学附属医院,井冈山大学附属医院,公立/综合医院,二级甲等
江西省,吉安市,吉州区,吉安市第一人民医院,吉安市第一人民医院,公立/综合医院,二级甲等
江西省,吉安市,吉州区,吉安丽人医院,吉安丽人妇产医院,公立/综合医院,一级甲等
