省,市,区,全名,别名,性质,等级
江西省,宜春市,袁州区,袁州区妇幼保健院,袁州区妇幼保健院,公立/综合医院,未知
江西省,宜春市,袁州区,宜春浙赣友好医院,宜春浙赣友好医院,公立/综合医院,二级甲等
江西省,宜春市,袁州区,宜春学院附属医院,宜春学院附属医院,公立/综合医院,二级甲等
江西省,宜春市,袁州区,宜春市中医院,宜春市中医院,公立/综合医院,二级甲等
江西省,宜春市,袁州区,宜春市第七人民医院,宜春市第七人民医院,公立/综合医院,二级甲等
江西省,宜春市,袁州区,宜春市第六人民医院,宜春市第六人民医院,公立/综合医院,二级甲等
江西省,宜春市,袁州区,宜春市第五人民医院,宜春市第五人民医院,公立/综合医院,二级甲等
江西省,宜春市,袁州区,宜春医学专科学校第二附属医院,宜春医学专科学校第二附属医院,公立/综合医院,二级甲等
江西省,宜春市,袁州区,宜春市第三人民医院,江西省袁州医院,公立/综合医院,二级甲等
江西省,宜春市,袁州区,宜春市第二人民医院,宜春二院,公立/综合医院,二级甲等
江西省,宜春市,袁州区,宜春市人民医院,宜春市人民医院,公立/综合医院,三级甲等　　
江西省,宜春市,袁州区,宜春男科医院,宜春男科,其他/专科医院,未评级
江西省,宜春市,袁州区,宜春市康复医院,江西康复医院,民营/综合医院,民营医院
江西省,宜春市,袁州区,宜春市红十字医院,宜春市红十字医院,民营/综合医院,民营医院
江西省,宜春市,袁州区,宜春仁德妇幼医院,宜春仁德妇幼医院,民营/综合医院,二级甲等
