省,市,区,全名,别名,性质,等级
江西省,抚州市,临川区,临川区一人民医院,临川区一人民医院,公立/综合医院,二级甲等
江西省,抚州市,临川区,临川区人民医院,抚州市立医院,公立/综合医院,未知
江西省,抚州市,临川区,临川区第二中医院,临川区第二中医院,公立/综合医院,未知
江西省,抚州市,临川区,临川区第二人民医院,临川区第二人民医院,公立/综合医院,未知
江西省,抚州市,临川区,临川区第一人民医院,临川县人民医院,公立/综合医院,二级甲等
江西省,抚州市,临川区,抚州市临川区第二中医院,抚州市临川区第二中医院,公立/综合医院,二级甲等
江西省,抚州市,临川区,抚州市临川区第一中医院,抚州市中医院,公立/综合医院,二级甲等
江西省,抚州市,临川区,抚州市临川区第三人民医院,抚州市临川区第三人民医院,公立/综合医院,二级甲等
江西省,抚州市,临川区,抚州市临川区人民医院,抚州市人民医院,公立/综合医院,二级甲等
江西省,抚州市,临川区,抚州市第三人民医院,抚州市临川区第一人民医院,公立/综合医院,二级甲等
江西省,抚州市,临川区,抚州市第二医院,抚州市红十字医院,公立/综合医院,二级甲等
江西省,抚州市,临川区,抚州市第一医院,抚州地区人民医院,公立/综合医院,三级甲等　　
江西省,抚州市,临川区,江西省赣东医院,江西省赣东医院,公立/综合医院,一级甲等
