省,市,区,全名,别名,性质,等级
江西省,上饶市,信州区,上饶市红十字会烧伤整形专科医院,上饶市红十字会烧伤整形专科医院,公立/综合医院,一级甲等
江西省,上饶市,信州区,南昌大学上饶医院,南昌大学上饶医院,公立/综合医院,二级甲等
江西省,上饶市,信州区,信州区徐绍萍中医诊所,徐氏中医,民营/门诊,未知
江西省,上饶市,信州区,上饶九龙男科医院,上饶九龙男科医院,民营/专科医院,民营医院
江西省,上饶市,信州区,上饶皮肤病医院,上饶皮肤病医院,合资/专科医院,未评级
江西省,上饶市,信州区,上饶信州协和医院,上饶协和医院,民营/综合医院,未知
江西省,上饶市,信州区,上饶信州惠民医院,上饶惠民医院,民营/其他,民营医院
江西省,上饶市,信州区,上饶市肿瘤医院,上饶市第五人民医院,公立/综合医院,三级甲等　　
江西省,上饶市,信州区,上饶铁路医院,上饶铁路医院,公立/综合医院,二级甲等
江西省,上饶市,信州区,上饶市立医院,上饶市立医院,公立/综合医院,二级甲等
江西省,上饶市,信州区,上饶市第二人民医院,上饶市第二人民医院,公立/综合医院,二级甲等
江西省,上饶市,信州区,上饶市中医院,上饶市中医院,公立/综合医院,二级甲等
江西省,上饶市,信州区,上饶市人民医院,上饶市人民医院,公立/综合医院,三级甲等　　
江西省,上饶市,信州区,上饶市卫校附属医院,上饶市卫校附属医院,公立/综合医院,三级甲等　　
江西省,上饶市,信州区,上饶曙光医院,上饶曙光医院,公立/综合医院,二级医院
江西省,上饶市,信州区,上饶人流医院,上饶玛丽亚医院,民营/综合医院,一级甲等
