省,市,区,全名,别名,性质,等级
山东省,济南市,历下区,济南中西医糖尿病医院,糖尿病医院,民营/专科医院,二级甲等
山东省,济南市,历下区,济南伊美尔整形美容医院,济南伊美尔整形美容医院,民营/综合医院,未知
山东省,济南市,历下区,山东紫荆花医院,山东紫荆花医院,民营/专科医院,未知
山东省,济南市,历下区,济南东湖医院,济南东湖医院,公立/综合医院,未知
山东省,济南市,历下区,济南文东医院,济南文东医院,公立/综合医院,未知
山东省,济南市,历下区,济南市历城区妇幼保健所,济南市历城区妇幼保健所,公立/综合医院,未知
山东省,济南市,历下区,济南皮肤疮疡医院,济南皮肤疮疡医院,公立/综合医院,未知
山东省,济南市,历下区,济南市历下区肿瘤医院,济南市历下区肿瘤医院,公立/专科医院,未知
山东省,济南市,历下区,济南市历下区中医院,济南市历下区中医院,公立/综合医院,未知
山东省,济南市,历下区,济南市历下区第三人民医院,济南市历下区第三人民医院,公立/综合医院,未知
山东省,济南市,历下区,山东水利医院,山东水利医院,公立/综合医院,未知
山东省,济南市,历下区,山东大学附属口腔医院,山东大学附属口腔医院,公立/专科医院,未知
山东省,济南市,历下区,济南明仁医院,济南明仁医院,民营/综合医院,未知
山东省,济南市,历下区,济南市和平医院,济南市和平医院,民营/综合医院,未知
山东省,济南市,历下区,山东师范大学校医院,山东师范大学校医院,公立/综合医院,未知
山东省,济南市,历下区,山东森美眼科激光治疗中心,山东森美眼科激光治疗中心,民营/综合医院,未知
山东省,济南市,历下区,山东中西医结合大学附属医院,山东中西医结合大学附属医院,公立/综合医院,未知
山东省,济南市,历下区,山东省胸科医院,山东省胸科医院,公立/综合医院,三级甲等　　
山东省,济南市,历下区,济南柴油机厂职工医院,济南柴油机厂职工医院,公立/综合医院,未知
山东省,济南市,历下区,济南市历下区第二人民医院,股骨头治疗医院,公立/综合医院,未知
山东省,济南市,历下区,济南钢铁总集团医院西区分院,济南钢铁总集团医院西区分院,公立/综合医院,未知
山东省,济南市,历下区,山东第一监狱医院,山东第一监狱医院,公立/综合医院,未知
山东省,济南市,历下区,济南市燕山医院,济南市燕山医院,公立/综合医院,未知
山东省,济南市,历下区,济南长虹医院,济南长虹医院,公立/综合医院,一级甲等
山东省,济南市,历下区,山东省荣军总医院,山东省荣军总医院,公立/综合医院,二级甲等
山东省,济南市,历下区,山东省荣军医院,山东省荣军医院,公立/综合医院,二级甲等
山东省,济南市,历下区,山东省中医药研究所,山东省中医药研究所,公立/综合医院,二级甲等
山东省,济南市,历下区,济南市历下区人民医院,济南市历下区人民医院,公立/综合医院,二级甲等
山东省,济南市,历下区,济南医院,济南疼痛医院,公立/综合医院,二级甲等
山东省,济南市,历下区,济南市第一人民医院,济南市第一人民医院,公立/综合医院,二级甲等
山东省,济南市,历下区,山东省地矿医院,山东省地矿职工医院,公立/综合医院,二级甲等
山东省,济南市,历下区,济南中山肝病医院,济南中山肝病医院,公立/专科医院,二级甲等
山东省,济南市,历下区,济南安康医院,济南安康医院,公立/综合医院,二级甲等
山东省,济南市,历下区,山东省精神卫生中心,山东省精神卫生中心,公立/综合医院,三级乙等
山东省,济南市,历下区,山东省千佛山医院,山东省千佛山医院,公立/综合医院,三级甲等　　
山东省,济南市,历下区,山东大学齐鲁医院,山东大学齐鲁医院,公立/综合医院,三级甲等　　
山东省,济南市,历下区,山东手足外科医院,山东手足外科医院,民营/综合医院,三级甲等　　
山东省,济南市,历下区,山东泉城医院,济南泉城医院,民营/综合医院,未知
山东省,济南市,历下区,济南市中心医院,济南市中心医院,公立/综合医院,三级甲等　　
山东省,济南市,历下区,山东中医药大学附属医院,山东中医药大学附属医院,公立/综合医院,三级甲等　　
山东省,济南市,历下区,济南市艺星医疗美容医院,济南艺星整形美容医院_济南整形医院,民营/专科医院,未评级
山东省,济南市,历下区,济南西京白癜风医院,济南白癜风专科医院,公立/专科医院,未评级
山东省,济南市,历下区,济南欧亚男科医院,济南欧亚男科医院,民营/专科医院,未知
山东省,济南市,历下区,济南欧亚男科医院,济南欧亚男科医院,民营/专科医院,未评级
山东省,济南市,历下区,济南圣贝口腔医院,济南圣贝牙科医院,民营/专科医院,未评级
山东省,济南市,历下区,济南北大血管瘤医院,济南北大胎记医院,其他/综合医院,未评级
山东省,济南市,历下区,历下区博杏霖中医门诊部,博杏霖中医馆,民营/综合医院,民营医院
山东省,济南市,历下区,济南伊美尔整形美容医院,济南伊美尔整形美容医院,民营/专科医院,未知
山东省,济南市,历下区,济南华医中医药研究所,济南华医中医药研究所,公立/综合医院,一级甲等
山东省,济南市,历下区,山东省中医院,山东中医药大学附属医院,公立/综合医院,三级甲等　　
山东省,济南市,历下区,济南阳光女子医院,济南女子医院,民营/专科医院,民营医院
山东省,济南市,历下区,济南第一藏医院,济南第一藏医院,公立/综合医院,一级甲等
