省,市,区,全名,别名,性质,等级
山东省,济南市,槐荫区,济南癫痫病医院,济南癫痫病医院,公立/专科医院,未知
山东省,济南市,槐荫区,济南肾病医院,济南市肾病医院,其他/专科医院,未知
山东省,济南市,槐荫区,济南中医癫痫病医院,济南中医癫痫病医院,其他/专科医院,未知
山东省,济南市,槐荫区,山东大学齐鲁儿童医院,济南儿童医院,公立/综合医院,三级甲等　　
山东省,济南市,槐荫区,济南中医脑血管病医院,济南中医脑血管,民营/专科医院,民营医院
山东省,济南市,槐荫区,山东省疾病预防控制中心,山东省卫生防疫站,公立/综合医院,一级甲等
山东省,济南市,槐荫区,济南第二机床职工医院,济南第二机床职工医院,公立/综合医院,未知
山东省,济南市,槐荫区,济南市槐荫区西郊医院,济南市槐荫区西郊医院,公立/综合医院,未知
山东省,济南市,槐荫区,济南市槐荫区妇幼保健站,济南市槐荫区妇幼保健站,公立/综合医院,未知
山东省,济南市,槐荫区,济南老年康复中心,济南老年康复中心,公立/综合医院,未知
山东省,济南市,槐荫区,济南市按摩医院,济南市颈肩腰腿痛康复医院,公立/综合医院,未知
山东省,济南市,槐荫区,济南铁路局西医院,济南铁路局西医院,公立/综合医院,未知
山东省,济南市,槐荫区,济南机车医院,济南机车医院,公立/综合医院,一级甲等
山东省,济南市,槐荫区,山东电力中心医院,山东电力中心医院,公立/综合医院,二级甲等
山东省,济南市,槐荫区,济南市传染病医院,济南市传染病医院,公立/综合医院,二级甲等
山东省,济南市,槐荫区,济南市第五人民医院,济南市第五人民医院,公立/综合医院,二级甲等
山东省,济南市,槐荫区,济南市槐荫人民医院,济南市大肠肛门病医院,公立/综合医院,二级甲等
山东省,济南市,槐荫区,山东省立医院耳鼻喉医院,山东省立医院耳鼻喉医院,公立/综合医院,二级甲等
山东省,济南市,槐荫区,山东省皮肤病医院,山东省皮肤病医院,公立/综合医院,三级乙等
山东省,济南市,槐荫区,济南市儿童医院,山东大学齐鲁儿童医院,公立/专科医院,三级甲等　　
山东省,济南市,槐荫区,济南市妇幼保健院,济南市妇幼保健院,公立/综合医院,三级甲等　　
山东省,济南市,槐荫区,山东省肿瘤医院,山东省肿瘤医院,公立/专科医院,三级甲等　　
山东省,济南市,槐荫区,济南癫痫病医院,济南癫痫病医院,公立/综合医院,一级甲等
山东省,济南市,槐荫区,山东省立医院,山东省立医院,公立/综合医院,三级甲等　　
山东省,济南市,槐荫区,济南106医院,济南106医院,其他/综合医院,未知
山东省,济南市,槐荫区,山东国济医院,山东国济医院,其他/专科医院,未知
山东省,济南市,槐荫区,济南中医集团济南痔瘘医院,济南中医集团济南痔瘘医院,公立/综合医院,一级甲等
山东省,济南市,槐荫区,济南惠仁中医院,济南惠仁中医院,个体户/中医医院,未知
山东省,济南市,槐荫区,济南军都医院,济南军都医院,其他/综合医院,未评级
