省,市,区,全名,别名,性质,等级
山东省,济南市,历城区,济南银屑病医院,山东济南银屑病医院,合资/专科医院,二级甲等
山东省,济南市,历城区,济南复元康复医院,济南复元康复医院,其他/专科医院,未评级
山东省,济南市,历城区,济南远大中医脑康医院,济南远大脑康医院,民营/专科医院,未评级
山东省,济南市,历城区,济南中医精神专科医院,济南中医精神专科医院,民营/专科医院,未知
山东省,济南市,历城区,济南市历城区皮肤病性病防治所,历城区皮防所,公立/专科医院,未知
山东省,济南市,历城区,兖矿集团公司第三医院,兖矿集团公司第三医院,公立/综合医院,一级甲等
山东省,济南市,历城区,济南神经康复医院,济南神经康复医院,民营/专科医院,未知
山东省,济南市,历城区,山东省红十字会介入医院,山东省红十字会介入医院,公立/综合医院,三级甲等　　
山东省,济南市,历城区,山东成林骨科,成林骨科,民营/专科医院,未评级
山东省,济南市,历城区,济南血液病医院,济南血液病医院,合资/专科医院,未知
山东省,济南市,历城区,济南远大脑科医院,济南远大脑科医院癫痫病研究所,其他/专科医院,未评级
山东省,济南市,历城区,佰年颐堂中医院,佰年颐堂,民营/专科医院,未知
山东省,济南市,历城区,济南钢铁集团总公司职工医院,济南钢铁集团总公司职工医院,公立/综合医院,一级甲等
山东省,济南市,历城区,济南六一儿童医院,济南六一儿童医院,其他/专科医院,未评级
山东省,济南市,历城区,济南监狱医院,济南监狱医院,公立/综合医院,未知
山东省,济南市,历城区,济南市历城区中医院,济南市历城区中医院,公立/综合医院,未知
山东省,济南市,历城区,济南市皮肤病防治院,济南市皮肤病医院,公立/专科医院,二级甲等
山东省,济南市,历城区,济南市精神病院,济南市精神病院,公立/综合医院,未知
山东省,济南市,历城区,济南郭店铁矿职工医院,济南郭店铁矿职工医院,公立/综合医院,未知
山东省,济南市,历城区,济南历城骨伤病医院,济南历城骨伤病医院,民营/综合医院,民营医院
山东省,济南市,历城区,济南铁路局十四工程局中心医院,济南铁路局十四工程局中心医院,公立/综合医院,未知
山东省,济南市,历城区,济南化纤总公司职工医院,济南化纤总公司职工医院,公立/综合医院,一级甲等
山东省,济南市,历城区,山东大学医院,山东大学医院,公立/综合医院,一级甲等
山东省,济南市,历城区,中国建筑第八工程局职工医院,中国建筑第八工程局职工医院,公立/综合医院,二级甲等
山东省,济南市,历城区,山东省妇产医院,山东省妇产医院,公立/专科医院,二级甲等
山东省,济南市,历城区,济南钢铁总医院,济南钢铁总医院,公立/综合医院,二级甲等
山东省,济南市,历城区,济南市第三人民医院,济南市第三人民医院,公立/综合医院,二级甲等
山东省,济南市,历城区,济南市第二人民医院,济南市第二人民医院,公立/综合医院,二级甲等
山东省,济南市,历城区,济南市历城区人民医院,济南市红十字医院,公立/综合医院,三级甲等　　
山东省,济南市,历城区,济南康泰医院,济南康泰医院,个体户/综合医院,一级甲等
山东省,济南市,历城区,济南爱尔眼科医院,济南爱尔,民营/专科医院,民营医院
山东省,济南市,历城区,济南可恩口腔医院,可恩口腔医院,其他/专科医院,未知
山东省,济南市,历城区,济南中医精神专科医院,济南中医精神专科医院,其他/专科医院,未评级
山东省,济南市,历城区,济南牛皮癣医院,济南牛皮癣医院_山东银屑病医院,其他/专科医院,未知
