省,市,区,全名,别名,性质,等级
山东省,青岛市,市南区,青岛白癜风研究所,青岛白癜风医院_青岛治疗白癜风医院,其他/专科医院,未评级
山东省,青岛市,市南区,青岛洪强骨科医院,青岛希敏骨科医院,民营/专科医院,民营医院
山东省,青岛市,市南区,青岛耳鼻喉治疗中心,青岛耳鼻喉治疗中心,公立/综合医院,一级甲等
山东省,青岛市,市南区,海天医院皮肤防治中心,海天医院,公立/综合医院,一级甲等
山东省,青岛市,市南区,青岛洋美毛发种植研究所,青岛洋美植发医院,民营/专科医院,未知
山东省,青岛市,市南区,解放军四零一医院,解放军401医院,公立/综合医院,三级甲等　　
山东省,青岛市,市南区,济南军区青岛第二疗养院,济南军区青岛第二疗养院,公立/综合医院,未知
山东省,青岛市,市南区,青岛海天医院（民营）,青岛海天医院,个体户/综合医院,一级甲等
山东省,青岛市,市南区,青岛市南燕儿岛中医院,青岛市南燕儿岛中医院,公立/中医医院,未知
山东省,青岛市,市南区,山东省友好医院,青岛友好耳鼻喉专科性医院,公立/综合医院,一级甲等
山东省,青岛市,市南区,青岛东方医院,青岛东方医院,民营/综合医院,二级甲等
山东省,青岛市,市南区,青岛大学医学院附属医院,青岛大学医学院附属医院,公立/综合医院,三级甲等　　
山东省,青岛市,市南区,青岛市皮肤病防治院,青岛市皮肤病防治院,公立/专科医院,三级甲等　　
山东省,青岛市,市南区,青岛市内分泌糖尿病医院,青岛内分泌糖尿病医院,民营/专科医院,三级医院
山东省,青岛市,市南区,青岛市慢性病医院,青岛市慢性病医院,公立/综合医院,未知
山东省,青岛市,市南区,青岛市口腔医院,青岛市口腔医院,公立/专科医院,二级甲等
山东省,青岛市,市南区,青岛市红十字会友好医院,青岛市红十字会友好医院,公立/综合医院,未知
山东省,青岛市,市南区,青岛市市南区妇幼保健所,青岛市市南区妇幼保健所,公立/专科医院,一级甲等
山东省,青岛市,市南区,青岛北海船厂职工医院,青岛北海船厂职工医院,公立/综合医院,未知
山东省,青岛市,市南区,青岛长江医院,青岛长江医院,民营/综合医院,未知
山东省,青岛市,市南区,青岛铁路分局青岛铁路医院,青岛铁路分局青岛铁路医院,公立/综合医院,二级甲等
山东省,青岛市,市南区,青岛市南区人民医院,青岛市南区人民医院,公立/综合医院,二级甲等
山东省,青岛市,市南区,青岛市按摩康复医院,青岛市按摩康复医院,公立/综合医院,二级甲等
山东省,青岛市,市南区,青岛市市南区医院,青岛市市南区医院,公立/综合医院,二级甲等
山东省,青岛市,市南区,山东省青岛疗养院山东康复中心,山东省青岛疗养院山东康复中心,公立/综合医院,三级甲等　　
山东省,青岛市,市南区,青岛大学医学院附属心血管病医院,青岛大学医学院附属心血管病医院,公立/综合医院,三级甲等　　
山东省,青岛市,市南区,青岛市第五人民医院,青岛市第五人民医院,公立/综合医院,三级甲等　　
山东省,青岛市,市南区,青岛市人民医院,青岛市人民医院,公立/综合医院,三级甲等　　
山东省,青岛市,市南区,青岛乳腺病医院,青岛乳腺病医院,民营/专科医院,未知
山东省,青岛市,市南区,青岛中大泌尿医院,青岛泌尿男科医院,其他/专科医院,未知
山东省,青岛市,市南区,青岛妇婴医院,青岛妇婴,民营/综合医院,未知
山东省,青岛市,市南区,解放军401医院,解放军401医院,公立/综合医院,三级甲等　　
山东省,青岛市,市南区,青岛元美医疗美容门诊部,元美整形,民营/专科医院,民营医院
山东省,青岛市,市南区,青岛市双星医院,青岛市双星医院,公立/综合医院,一级甲等
山东省,青岛市,市南区,青岛市双星医院（民营）,青岛市双星医院（民营）,个体户/综合医院,一级甲等
山东省,青岛市,市南区,成海卫人民医院,成海卫人民医院,公立/综合医院,一级甲等
山东省,青岛市,市南区,青岛市华青医院,青岛市华青医院,公立/综合医院,一级甲等
山东省,青岛市,市南区,青岛市市南区浮山医院,青岛市市南区浮山医院,公立/综合医院,二级乙等
山东省,青岛市,市南区,青岛曙光医院,青岛曙光医院,民营/专科医院,未知
山东省,青岛市,市南区,青岛新五洲不孕不育研究所,青岛不孕不育医院,民营/专科医院,未知
山东省,青岛市,市南区,青岛开发区友爱医院,青岛友爱医院,民营/综合医院,民营医院
山东省,青岛市,市南区,青岛癫痫病医院,中国人民解放军青岛癫痫康复中心,公立/专科医院,未知
山东省,青岛市,市南区,青岛市第九人民医院,青岛九院,公立/综合医院,二级甲等
山东省,青岛市,市南区,青岛韩植信毛发管理中心,青岛植发医院,合资/专科医院,未知
山东省,青岛市,市南区,青岛第九人民医院,青岛第九人民医院（泌尿科）,公立/综合医院,二级甲等
山东省,青岛市,市南区,青岛华厦眼科医院,华厦眼科医院,民营/专科医院,三级乙等
山东省,青岛市,市南区,青岛华韩整形美容医院,华韩整形医院,民营/专科医院,民营医院
山东省,青岛市,市南区,青岛乐芙尼医疗美容门诊部,乐芙尼医学整形美容,民营/专科医院,未评级
