省,市,区,全名,别名,性质,等级
山东省,青岛市,四方区,青岛东大皮肤病医院,青岛东大医院,民营/专科医院,未知
山东省,青岛市,四方区,青岛德仁医院,青岛德仁中西医结合医院,民营/综合医院,二级甲等
山东省,青岛市,四方区,青岛恒博医院,青岛市人民医院的四方区分院,公立/综合医院,一级乙等
山东省,青岛市,四方区,青岛大学医学院松山医院,青岛松山医院,公立/综合医院,二级乙等
山东省,青岛市,四方区,青岛肛泰肛肠医院,青岛肛泰肛肠医院,民营/综合医院,二级甲等
山东省,青岛市,四方区,青岛市妇女儿童医疗保健中心,青岛市妇女儿童医疗保健中心,公立/综合医院,三级甲等　　
山东省,青岛市,四方区,青岛市肿瘤医院,青岛市肿瘤医院,公立/专科医院,三级甲等　　
山东省,青岛市,四方区,青岛市中心医院,青岛纺织医院,公立/综合医院,三级甲等　　
山东省,青岛市,四方区,青岛市市立医院,青岛市市立医院,公立/综合医院,三级甲等　　
山东省,青岛市,四方区,青岛安康国医堂失眠抑郁治疗中心,青岛失眠医院,民营/专科医院,未评级
山东省,青岛市,四方区,青岛海伦心脑血管专科医院（民营）,青岛海伦心脑血管专科医院,个体户/综合医院,一级甲等
山东省,青岛市,四方区,青岛市传染病医院青岛市第六人民医院,青岛市传染病医院青岛市第六人民医院,公立/综合医院,一级甲等
山东省,青岛市,四方区,青岛安康皮肤病医院,青岛皮肤病医院,公立/专科医院,三级甲等　　
山东省,青岛市,四方区,青岛市传染病医院,青岛市传染病医院,公立/综合医院,三级乙等
山东省,青岛市,四方区,青岛市平安医院,青岛市平安医院,民营/综合医院,未知
山东省,青岛市,四方区,青岛世海医院,青岛世海医院,民营/综合医院,未知
山东省,青岛市,四方区,青岛市四方区红十字医院,青岛市四方区红十字医院,公立/综合医院,未知
山东省,青岛市,四方区,青岛市人民医院分院,青岛市人民医院分院,公立/综合医院,未知
山东省,青岛市,四方区,青岛市四方区妇幼保健所,青岛市四方区妇幼保健所,公立/综合医院,一级甲等
山东省,青岛市,四方区,青岛市精神卫生中心,青岛市第七人民医院,公立/专科医院,二级乙等
山东省,青岛市,四方区,青岛纺织机械厂职工医院,青岛纺织机械厂职工医院,公立/综合医院,一级乙等
山东省,青岛市,四方区,青岛公安消防医院,青岛烧烫伤医院,外资/综合医院,一级乙等
山东省,青岛市,四方区,青岛市四方区医院,青岛市四方区医院,公立/综合医院,二级甲等
山东省,青岛市,四方区,中国南车集团四方机车车辆有限责任公司职工医院,中国南车集团四方机车车辆有限责任公司职工医院,公立/综合医院,二级甲等
山东省,青岛市,四方区,青岛市金生医院（民营）,青岛市金生医院,个体户/综合医院,一级甲等
山东省,青岛市,四方区,铁道部四方机车车辆厂医院,铁道部四方机车车辆厂医院,公立/综合医院,未知
山东省,青岛市,四方区,青岛新兴医院,青岛新兴医院,公立/综合医院,一级甲等
山东省,青岛市,四方区,青岛世海医院（民营）,青岛世海医院,个体户/综合医院,一级甲等
