省,市,区,全名,别名,性质,等级
山东省,青岛市,李沧区,青岛市李沧区妇幼保健所,青岛市李沧区妇幼保健所,公立/综合医院,未知
山东省,青岛市,李沧区,青岛市李沧区第二医院,青岛市李沧区第二医院,公立/综合医院,未知
山东省,青岛市,李沧区,青岛生建机械厂医院,青岛生建机械厂医院,公立/综合医院,未知
山东省,青岛市,李沧区,青岛市李沧区第五医院,青岛市李沧区第五医院,公立/综合医院,二级乙等
山东省,青岛市,李沧区,青岛市李沧区第三医院,青岛市李沧区第三医院,公立/综合医院,一级甲等
山东省,青岛市,李沧区,青岛市李沧区医院,青岛市李沧区医院,公立/综合医院,二级甲等
山东省,青岛市,李沧区,青岛市第三人民医院,青岛市第三人民医院,公立/综合医院,二级甲等
山东省,青岛市,李沧区,青岛协合妇产医院,青岛协合妇产医院,民营/综合医院,二级甲等
山东省,青岛市,李沧区,青岛市沧口区医院,青岛市沧口区医院,公立/综合医院,二级甲等
山东省,青岛市,李沧区,青岛钢铁总公司职工医院,青岛钢铁总公司职工医院,民营/综合医院,二级甲等
山东省,青岛市,李沧区,青岛脊椎病医院,青岛市李沧区医院,公立/综合医院,二级甲等
山东省,青岛市,李沧区,青岛市第四人民医院,青岛市胸科医院,公立/综合医院,二级甲等
山东省,青岛市,李沧区,青岛九洲医院,青岛九洲医院,民营/综合医院,民营医院
山东省,青岛市,李沧区,青岛市第二橡胶厂职工医院,青岛市第二橡胶厂职工医院,公立/综合医院,一级甲等
山东省,青岛市,李沧区,青岛李沧区医院,青岛李沧区医院,公立/综合医院,二级甲等
山东省,青岛市,李沧区,青岛市第八人民医院,青岛市第八人民医院,公立/综合医院,三级乙等
山东省,青岛市,李沧区,青岛新阳光妇产医院,青岛新阳光医院,民营/专科医院,民营医院
山东省,青岛市,李沧区,青岛钢铁有限公司职工医院,青岛钢铁有限公司职工医院,公立/综合医院,一级甲等
山东省,青岛市,李沧区,青岛市李沧区医院,青岛市李沧区医院,公立/综合医院,二级甲等
山东省,青岛市,李沧区,武警山东总队医院青岛分院,武警山东总队医院青岛分院,公立/综合医院,一级甲等
山东省,青岛市,李沧区,青岛龙田金秋妇女儿童医院,青岛龙田金秋妇女儿童医院,民营/专科医院,二级甲等
