省,市,区,全名,别名,性质,等级
山东省,青岛市,莱西市,莱西市妇幼保健院,莱西市妇幼保健院,公立/妇幼保健医院,一级甲等
山东省,青岛市,莱西市,莱西市康泰皮肤病医院（民营）,莱西市康泰皮肤病医院,个体户/综合医院,未知
山东省,青岛市,莱西市,莱西市第四人民医院,莱西市第四人民医院,公立/综合医院,未知
山东省,青岛市,莱西市,山东南墅石墨矿职工医院,山东南墅石墨矿职工医院,公立/综合医院,未知
山东省,青岛市,莱西市,莱西市妇幼保健站,莱西市妇幼保健站,公立/综合医院,未知
山东省,青岛市,莱西市,莱西市第五医院,莱西市第五医院,公立/综合医院,未知
山东省,青岛市,莱西市,莱西市第二人民医院莱西市精神病防治院,莱西市第二人民医院莱西市精神病防治院,公立/综合医院,未知
山东省,青岛市,莱西市,莱西市结核病防治所,莱西市结核病防治所,公立/综合医院,未知
山东省,青岛市,莱西市,莱西市整骨医院,莱西市整骨医院,公立/综合医院,未知
山东省,青岛市,莱西市,莱西市中医院,莱西市中医院,公立/综合医院,二级甲等
山东省,青岛市,莱西市,莱西市人民医院,莱西市人民医院,公立/综合医院,二级甲等
山东省,青岛市,莱西市,莱西言林脑血管病医院（民营）,莱西言林脑血管病医院,个体户/综合医院,未知
山东省,青岛市,莱西市,莱西市水集中心医院,莱西市水集中心医院,公立/综合医院,一级甲等
山东省,青岛市,莱西市,莱西市市立医院,莱西妇产中心,其他/综合医院,未评级
山东省,青岛市,莱西市,莱西友好医院,莱西友好医院,民营/综合医院,民营医院
山东省,青岛市,莱西市,莱西世纪协和医院,莱西协和医院,民营/综合医院,民营医院
山东省,青岛市,莱西市,莱西市培国中风偏瘫医院（民营）,莱西市培国中风偏瘫医院,公立/综合医院,未知
山东省,青岛市,莱西市,莱西市第三人民医院,莱西市第三人民医院,公立/综合医院,一级甲等
