省,市,区,全名,别名,性质,等级
山东省,淄博市,张店区,淄博曙光医院,淄博曙光男科医院,民营/综合医院,未知
山东省,淄博市,张店区,淄博丽人医院,淄博丽人医院,其他/专科医院,未评级
山东省,淄博市,张店区,张店钢铁总厂医院,张店钢铁总厂医院,公立/综合医院,一级甲等
山东省,淄博市,张店区,山东新华制药厂职工医院,淄博新华医院,公立/综合医院,一级甲等
山东省,淄博市,张店区,青岛铁路分局淄博铁路医院,青岛铁路分局淄博铁路医院,公立/综合医院,一级甲等
山东省,淄博市,张店区,国营第四八一厂职工医院,国营第四八一厂职工医院,公立/综合医院,一级甲等
山东省,淄博市,张店区,淄博美联臣美容医院,淄博美联臣整形美容医院,合资/专科医院,未评级
山东省,淄博市,张店区,淄博宝华中医院（原淄博市红十字会骨病医院）,宝华中医医院,民营/专科医院,未知
山东省,淄博市,张店区,淄博市张店钢铁总厂职工医院,淄博市张店钢铁总厂职工医院,公立/综合医院,未知
山东省,淄博市,张店区,淄博市张店钢铁厂职工医院,淄博市张店钢铁厂职工医院,公立/综合医院,未知
山东省,淄博市,张店区,淄博天大皮肤病医院,淄博天大牛皮癣医院,公立/专科医院,三级乙等
山东省,淄博市,张店区,淄博广电院,淄博市广电医院,公立/综合医院,二级乙等
山东省,淄博市,张店区,淄博世纪长城医院,淄博长城皮肤病研究院_淄博白癜风医院,公立/综合医院,未评级
山东省,淄博市,张店区,淄博市第八人民医院,淄博市第八人民医院,公立/综合医院,一级甲等
山东省,淄博市,张店区,淄博市张店区人民医院,淄博市张店区人民医院,公立/综合医院,二级甲等
山东省,淄博市,张店区,淄博市铁路医院,淄博市铁路医院,公立/综合医院,一级甲等
山东省,淄博市,张店区,淄博新华医院,淄博新华医院,公立/综合医院,一级甲等
山东省,淄博市,张店区,淄博市张店区人民医院淄博康明眼科医院,淄博康明眼科医院,公立/眼科医院,二级乙等
山东省,淄博市,张店区,山东淄博第八人民医院,淄博铁路医院,公立/综合医院,二级甲等
山东省,淄博市,张店区,淄博市市级机关医院,淄博市市级机关医院,公立/综合医院,二级甲等
山东省,淄博市,张店区,淄博昌国医院,淄博昌国耳鼻喉专科医院,其他/综合医院,未知
山东省,淄博市,张店区,淄博一美天成整形美容医院,一美天成,合资/专科医院,民营医院
山东省,淄博市,张店区,淄博中大医院,淄博中大男科医院,其他/专科医院,未评级
山东省,淄博市,张店区,山东淄博向东美容整形医院,淄博向东美容整形医院,公立/综合医院,一级甲等
山东省,淄博市,张店区,淄博金盾医院,淄博金盾医院,其他/专科医院,未知
山东省,淄博市,张店区,淄博博爱医院,淄博博爱医院,民营/专科医院,民营医院
山东省,淄博市,张店区,淄博市山东金岭铁矿医院,淄博市山东金岭铁矿医院,公立/综合医院,未知
山东省,淄博市,张店区,山东农药厂职工医院,山东农药厂职工医院,公立/综合医院,未知
山东省,淄博市,张店区,淄博口腔医院,张店区第二人民医院,公立/专科医院,二级乙等
山东省,淄博市,张店区,山东铝业公司医院,山东铝业公司医院,公立/综合医院,二级甲等
山东省,淄博市,张店区,淄博市第七人民医院,淄博市第七人民医院,公立/综合医院,二级甲等
山东省,淄博市,张店区,淄博市张店区中医院,淄博市张店区中医院,民营/综合医院,二级甲等
山东省,淄博市,张店区,淄博市红十字会癫痫病医院,淄博市红十字会癫痫病医院,公立/综合医院,二级甲等
山东省,淄博市,张店区,淄博市中心医院,淄博市中心医院,公立/综合医院,三级甲等　　
