省,市,区,全名,别名,性质,等级
山东省,枣庄市,滕州市,枣庄市王开传染病医院,枣庄市王开传染病医院,公立/综合医院,三级甲等　　
山东省,枣庄市,滕州市,滕州市中医医院,滕州市中医医院,公立/综合医院,二级甲等
山东省,枣庄市,滕州市,滕州市财贸医院,滕州市财贸医院,公立/综合医院,未知
山东省,枣庄市,滕州市,滕州市城关医院,滕州市城关医院,公立/综合医院,未知
山东省,枣庄市,滕州市,滕州市新康医院,滕州市新康医院,公立/综合医院,未知
山东省,枣庄市,滕州市,滕州市康复医院,滕州市康复医院,公立/综合医院,未知
山东省,枣庄市,滕州市,滕州市肾病医院,滕州市肾病医院,公立/综合医院,未知
山东省,枣庄市,滕州市,滕州市眼耳鼻喉医院,滕州市眼耳鼻喉医院,公立/综合医院,未知
山东省,枣庄市,滕州市,滕州市精神病医院,滕州市精神病医院,公立/综合医院,未知
山东省,枣庄市,滕州市,滕州市伤骨医院,滕州市伤骨医院,公立/综合医院,未知
山东省,枣庄市,滕州市,滕州市红十字中医院,滕州市红十字中医院,公立/综合医院,未知
山东省,枣庄市,滕州市,滕州市八一煤矿医院,滕州市八一煤矿医院,公立/综合医院,未知
山东省,枣庄市,滕州市,滕州市工人医院,滕州市工人医院,公立/综合医院,二级甲等
山东省,枣庄市,滕州市,滕州市人民医院,滕州市人民医院,公立/综合医院,三级乙等
山东省,枣庄市,滕州市,枣庄矿务局滕南医院,枣庄矿务局滕南医院,公立/综合医院,二级甲等
山东省,枣庄市,滕州市,枣庄市皮肤病医院,枣庄市皮肤病医院,公立/综合医院,二级甲等
山东省,枣庄市,滕州市,枣庄市煤矿医院,枣庄市煤矿医院,公立/综合医院,二级甲等
山东省,枣庄市,滕州市,滕州市儿童医院,滕州市儿童医院,公立/儿童医院,一级甲等
山东省,枣庄市,滕州市,滕州市第二人民医院,滕州市第二人民医院,公立/综合医院,一级甲等
山东省,枣庄市,滕州市,滕州市妇幼保健院,滕州市妇幼保健院,公立/妇幼保健医院,二级甲等
山东省,枣庄市,滕州市,滕州市第一人民医院,滕州市第一人民医院,公立/综合医院,一级甲等
山东省,枣庄市,滕州市,枣庄市王开结核病防治院,枣庄市王开结核病防治院,公立/综合医院,一级甲等
山东省,枣庄市,滕州市,兖矿鲁化医院,兖矿鲁化医院,公立/综合医院,一级甲等
山东省,枣庄市,滕州市,鲁南化肥厂职工医院,鲁南化肥厂职工医院,公立/综合医院,一级甲等
山东省,枣庄市,滕州市,滕州市儿童医院滕州市人民医院,滕州市儿童医院滕州市人民医院,公立/儿童医院,未知
