省,市,区,全名,别名,性质,等级
山东省,东营市,东营区,东营市东营区中医院,东营市东营区中医院,公立/综合医院,二级甲等
山东省,东营市,东营区,东营市东营区人民医院,东营市东营区人民医院,公立/综合医院,二级甲等
山东省,东营市,东营区,东营市妇幼保健院,东营市妇幼保健院,公立/综合医院,二级甲等
山东省,东营市,东营区,东营市人民医院,肿瘤生物治疗中心,公立/综合医院,二级甲等
山东省,东营市,东营区,胜利医院,胜利医院,公立/综合医院,一级甲等
山东省,东营市,东营区,胜利油田五七医院,胜利油田五七医院,公立/综合医院,一级甲等
山东省,东营市,东营区,胜利动力机械厂职工医院,胜利动力机械厂职工医院,公立/综合医院,一级甲等
山东省,东营市,东营区,胜利油田中心医院,胜利油田中心医院,公立/综合医院,三级甲等　　
山东省,东营市,东营区,胜利油田胜利医院,胜利油田胜利医院,公立/综合医院,一级甲等
山东省,东营市,东营区,胜利油田胜采医院,胜利油田胜采医院,公立/综合医院,一级甲等
山东省,东营市,东营区,东营鸿港医院,东营鸿港医院,公立/综合医院,未知
山东省,东营市,东营区,胜利油田管理局肛肠病防治院,胜利油田管理局肛肠病防治院,公立/综合医院,一级甲等
山东省,东营市,东营区,东营市第二人民医院,东营市第二人民医院,公立/综合医院,二级甲等
山东省,东营市,东营区,东营市中西医结合医院,东营市中西医结合医院,公立/综合医院,未知
山东省,东营市,东营区,东营市皮肤病医院,东营市皮肤病医院,公立/综合医院,未知
山东省,东营市,东营区,东营市东营区第二人民医院,东营市东营区第二人民医院,公立/综合医院,未知
山东省,东营市,东营区,东营骨科医院（民营）,东营骨科医院,个体户/骨科医院,未知
山东省,东营市,东营区,胜利油田井下医院,胜利油田井下医院,公立/综合医院,一级甲等
山东省,东营市,东营区,胜利石油管理局孤岛医院,胜利石油管理局孤岛医院,公立/综合医院,一级甲等
山东省,东营市,东营区,东营协和医院,东营协和医院,民营/综合医院,民营医院
山东省,东营市,东营区,东营博爱妇科医院,东营妇科医院,合资/专科医院,未评级
山东省,东营市,东营区,东营东康医院,东营东康医院,合资/综合医院,未评级
山东省,东营市,东营区,胜利石油管理局肛肠病防治院,胜利石油管理局肛肠病防治院,公立/综合医院,二级甲等
山东省,东营市,东营区,东营真爱女子医院,东营真爱女子医院,民营/专科医院,未知
山东省,东营市,东营区,东营同济医院,东营同济男科医院,合资/专科医院,未知
山东省,东营市,东营区,胜利油田钻井医院,胜利油田钻井医院,公立/综合医院,一级甲等
