省,市,区,全名,别名,性质,等级
山东省,潍坊市,潍城区,潍坊市潍城区第一中心医院,潍坊市潍城区第一中心医院,公立/综合医院,未知
山东省,潍坊市,潍城区,潍坊耳鼻喉医院,潍坊耳鼻喉医院,公立/综合医院,一级甲等
山东省,潍坊市,潍城区,鼎嘉维心脑血管医院,鼎嘉维心脑血管医院,公立/综合医院,一级甲等
山东省,潍坊市,潍城区,中国人民解放军第八十九医院,解放军第89医院,公立/综合医院,三级甲等　　
山东省,潍坊市,潍城区,潍坊市交通医院,潍坊市交通医院,公立/综合医院,二级甲等
山东省,潍坊市,潍城区,潍坊市立第二医院,潍坊市立第二医院,公立/综合医院,一级甲等
山东省,潍坊市,潍城区,潍坊现代医院,潍坊现代男科医院,民营/专科医院,未评级
山东省,潍坊市,潍城区,潍坊医学院整形外科医院,潍坊医学院整形外科医院,其他/综合医院,未知
山东省,潍坊市,潍城区,潍坊九龙医院,潍坊九龙医院,合资/综合医院,未评级
山东省,潍坊市,潍城区,潍坊市工业医院,潍坊市工业医院,公立/综合医院,一级甲等
山东省,潍坊市,潍城区,潍坊眼科医院,潍坊眼科医院,其他/专科医院,未知
山东省,潍坊市,潍城区,东方肾脏病医院,东方肾脏病医院,公立/综合医院,一级甲等
山东省,潍坊市,潍城区,潍坊口腔医院,潍坊市南关牙科医院,民营/专科医院,民营医院
山东省,潍坊市,潍城区,山东潍城经济开发区人民医院,红太阳肾病医院,公立/专科医院,二级乙等
山东省,潍坊市,潍城区,潍坊博大泌尿外科医院,潍坊博大男科医院,民营/专科医院,未知
