省,市,区,全名,别名,性质,等级
山东省,潍坊市,奎文区,潍坊东方银屑病研究院,潍坊银屑病医院,其他/专科医院,未知
山东省,潍坊市,奎文区,青岛银屑病医院,青岛银屑病研究院_青岛牛皮癣医院,其他/专科医院,未知
山东省,潍坊市,奎文区,潍坊市皮肤病医院潍坊市性病防治中心,山东潍坊皮肤病医院_皮肤科医院,其他/专科医院,一级甲等
山东省,潍坊市,奎文区,潍坊银康医院,潍坊东方银屑病研究院,其他/专科医院,未知
山东省,潍坊市,奎文区,潍坊银屑病医院,潍坊银屑病研究院,其他/专科医院,未知
山东省,潍坊市,奎文区,潍坊和平医院,潍坊和平医院,民营/综合医院,二级甲等
山东省,潍坊市,奎文区,潍坊长安医院,潍坊长安男科医院,其他/专科医院,未评级
山东省,潍坊市,奎文区,潍坊仁德医院（民营）,潍坊仁德医院,个体户/综合医院,一级甲等
山东省,潍坊市,奎文区,潍坊市奎文区脑血管病医院,潍坊市奎文区脑血管病医院,公立/综合医院,未知
山东省,潍坊市,奎文区,潍坊市奎文区妇幼保健院,潍坊市奎文区妇幼保健院,公立/妇幼保健医院,未知
山东省,潍坊市,奎文区,潍坊奎文仁和医院,潍坊奎文仁和医院,民营/综合医院,民营医院
山东省,潍坊市,奎文区,潍坊肾脏病医院（民营）,潍坊肾脏病医院,个体户/综合医院,一级甲等
山东省,潍坊市,奎文区,潍坊市糖尿病医院,潍坊市糖尿病医院,公立/综合医院,一级甲等
山东省,潍坊市,奎文区,潍坊市奎文区南郊医院,潍坊市奎文区南郊医院,公立/综合医院,未知
山东省,潍坊市,奎文区,潍坊新城医院,潍坊新城医院,公立/综合医院,一级甲等
山东省,潍坊市,奎文区,潍坊开发区骨伤病医院,潍坊开发区骨伤病医院,公立/综合医院,一级甲等
山东省,潍坊市,奎文区,潍坊长安医院（民营）,潍坊长安医院,民营/专科医院,未知
山东省,潍坊市,奎文区,潍坊玛丽妇产医院,潍坊玛丽医院,其他/专科医院,未知
山东省,潍坊市,奎文区,华星医院（原潍坊市棉纺织厂职工医院）,华星医院（原潍坊市棉纺织厂职工医院）,公立/综合医院,一级甲等
山东省,潍坊市,奎文区,潍坊仁德医院,潍坊仁德医院,公立/综合医院,一级甲等
山东省,潍坊市,奎文区,潍坊市市直机关医院,潍坊市市直机关医院,公立/综合医院,二级甲等
山东省,潍坊市,奎文区,潍坊市第四人民医院潍坊肿瘤医院,潍坊市第四人民医院潍坊肿瘤医院,公立/综合医院,一级甲等
山东省,潍坊市,奎文区,潍坊彭胜三叉神经医院,潍坊彭胜三叉神经医院,民营/专科医院,民营医院
山东省,潍坊市,奎文区,潍坊市柴油机厂职工医院,潍坊市柴油机厂职工医院,公立/综合医院,二级甲等
山东省,潍坊市,奎文区,潍坊市和平医院,潍坊市和平医院,公立/综合医院,二级甲等
山东省,潍坊市,奎文区,潍坊市哮喘病医院,潍坊市哮喘病医院,民营/专科医院,二级甲等
山东省,潍坊市,奎文区,潍坊市第四棉纺织厂职工医院,潍坊市第四棉纺织厂职工医院,公立/综合医院,二级甲等
山东省,潍坊市,奎文区,潍坊市中医院,潍坊市中医院,公立/综合医院,三级甲等　　
山东省,潍坊市,奎文区,潍坊市人民医院,潍坊市人民医院,公立/综合医院,三级甲等　　
山东省,潍坊市,奎文区,电力三社区卫生服务站,电力三职工医院,民营/综合医院,一级甲等
山东省,潍坊市,奎文区,潍坊肛肠外科医院,潍坊肛肠医院,合资/专科医院,二级甲等
山东省,潍坊市,奎文区,山东省红旗机电集团有限公司职工医院,潍坊红旗医院,其他/综合医院,未知
山东省,潍坊市,奎文区,潍坊市奎文区安定医院,潍坊市奎文区安定医院,公立/综合医院,未知
山东省,潍坊市,奎文区,潍坊市肿瘤医院,潍坊市第四人民医院,公立/综合医院,三级甲等　　
