省,市,区,全名,别名,性质,等级
山东省,潍坊市,高密市,高密市第二人民医院,高密市第二人民医院,公立/综合医院,未知
山东省,潍坊市,高密市,高密市供销职工医院,高密市供销职工医院,公立/综合医院,未知
山东省,潍坊市,高密市,高密市精神卫生中心,高密市精神卫生中心,公立/综合医院,未知
山东省,潍坊市,高密市,高密市老年病防治院,高密市老年病防治院,公立/综合医院,未知
山东省,潍坊市,高密市,高密市痔瘘医院,高密市痔瘘医院,公立/综合医院,未知
山东省,潍坊市,高密市,高密市眼科医院,高密市眼科医院,公立/综合医院,未知
山东省,潍坊市,高密市,高密市肿瘤医院,高密市肿瘤医院,公立/专科医院,未知
山东省,潍坊市,高密市,高密市妇幼保健院,高密市妇幼保健院,公立/综合医院,未知
山东省,潍坊市,高密市,高密市骨伤科医院,高密市骨伤科医院,公立/综合医院,一级甲等
山东省,潍坊市,高密市,高密市第三人民医院,高密市第三人民医院,公立/综合医院,一级甲等
山东省,潍坊市,高密市,高密市人民医院,高密市人民医院,公立/综合医院,二级甲等
山东省,潍坊市,高密市,高密市整骨总医院,高密市整骨总医院,公立/综合医院,二级甲等
山东省,潍坊市,高密市,高密市中医院,高密市中医院,公立/综合医院,二级甲等
山东省,潍坊市,高密市,高密市妇幼保健站,高密市妇幼保健站,公立/妇幼保健医院,未知
