省,市,区,全名,别名,性质,等级
山东省,烟台市,龙口市,烟台市北海医院,烟台市北海医院,公立/综合医院,一级甲等
山东省,烟台市,龙口市,龙口经济开发区医院,龙口经济开发区医院,公立/综合医院,未知
山东省,烟台市,龙口市,南山心血管病医院,南山心血管病医院,公立/综合医院,二级甲等
山东省,烟台市,龙口市,龙口市精神病防治院,龙口市精神病防治院,公立/综合医院,未知
山东省,烟台市,龙口市,龙口市妇幼保健院,龙口市妇幼保健院,公立/综合医院,未知
山东省,烟台市,龙口市,龙口市残疾人康复中心,龙口市残疾人康复中心,公立/综合医院,未知
山东省,烟台市,龙口市,龙口矿务局中心医院,龙口矿务局中心医院,公立/综合医院,二级甲等
山东省,烟台市,龙口市,龙口市北海医院,龙口市北海医院,公立/综合医院,二级甲等
山东省,烟台市,龙口市,龙口市第二人民医院,龙口市第二人民医院,公立/综合医院,二级甲等
山东省,烟台市,龙口市,龙口市人民医院,龙口市人民医院,公立/综合医院,二级甲等
山东省,烟台市,龙口市,龙口市中医院,龙口市中医院,公立/综合医院,二级甲等
山东省,烟台市,龙口市,龙口市南山医院,龙口市南山医院,公立/综合医院,未知
山东省,烟台市,龙口市,龙口九龙男科,龙口男科医院,民营/门诊,民营医院
山东省,烟台市,龙口市,龙口市五洲医院,龙口市男科医院,其他/综合医院,未评级
山东省,烟台市,龙口市,龙口港集团有限公司海港医院,龙口海港医院,其他/专科医院,未知
