省,市,区,全名,别名,性质,等级
山东省,烟台市,莱阳市,莱阳市中心医院,莱阳市中心医院,公立/综合医院,三级乙等
山东省,烟台市,莱阳市,莱阳市第一人民医院,莱阳市第一人民医院,公立/综合医院,未知
山东省,烟台市,莱阳市,莱阳市中医药学校附属医院,莱阳市中医药学校附属医院,公立/综合医院,未知
山东省,烟台市,莱阳市,莱阳市新型整骨医院,莱阳市新型整骨医院,公立/综合医院,未知
山东省,烟台市,莱阳市,烟台市心理康复医院,烟台市心理康复医院,公立/综合医院,未知
山东省,烟台市,莱阳市,莱阳市妇幼保健院,莱阳市妇幼保健院,公立/综合医院,一级甲等
山东省,烟台市,莱阳市,莱阳市中医院,莱阳市中医院,公立/综合医院,二级甲等
山东省,烟台市,莱阳市,莱阳市第二人民医院,莱阳市第二人民医院,公立/综合医院,二级甲等
山东省,烟台市,莱阳市,烟台莱阳中心医院,烟台莱阳中心医院,公立/综合医院,三级乙等
山东省,烟台市,莱阳市,中国人民解放军第一四五医院,中国人民解放军第一四五医院,公立/综合医院,一级甲等
山东省,烟台市,莱阳市,莱阳卫校医院,莱阳卫校医院,公立/综合医院,一级甲等
山东省,烟台市,莱阳市,莱阳精神病防治院,莱阳精神病防治院,公立/综合医院,未知
山东省,烟台市,莱阳市,莱阳仁爱医院,莱阳仁爱医院,民营/综合医院,民营医院
