省,市,区,全名,别名,性质,等级
山东省,济宁市,市中区,济宁红房子妇科医院,济宁红房子妇科医院,合资/专科医院,未知
山东省,济宁市,市中区,济宁丽人医院,济宁丽人妇科医院,民营/专科医院,民营医院
山东省,济宁市,市中区,济宁博仕皮肤病医院,济宁博仕医院,合资/专科医院,未知
山东省,济宁市,市中区,济宁市中区人民医院,济宁市中区人民医院,公立/综合医院,二级甲等
山东省,济宁市,市中区,济宁市抗生素厂职工医院,济宁市抗生素厂职工医院,公立/综合医院,二级甲等
山东省,济宁市,市中区,济宁市棉纺织厂职工医院,济宁市棉纺织厂职工医院,公立/综合医院,二级甲等
山东省,济宁市,市中区,济宁市交通医院,济宁市交通医院,公立/综合医院,二级甲等
山东省,济宁市,市中区,济宁市直机关医院,济宁市直机关医院,公立/综合医院,二级甲等
山东省,济宁市,市中区,济宁市任城区烧伤医院,济宁市任城区烧伤医院,公立/综合医院,二级甲等
山东省,济宁市,市中区,济宁市任城区中医院,济宁市任城区中医院,公立/综合医院,二级甲等
山东省,济宁市,市中区,济宁市口腔医院,济宁市口腔医院,公立/专科医院,二级甲等
山东省,济宁市,市中区,济宁市妇幼保健院,济宁市妇幼保健院,公立/综合医院,一级甲等
山东省,济宁市,市中区,山东医学科学院济宁清华医院,山东医学科学院济宁清华医院,公立/综合医院,一级甲等
山东省,济宁市,市中区,济宁老年血管病医院（民营）,济宁老年血管病医院（民营）,个体户/综合医院,一级甲等
山东省,济宁市,市中区,中国人民解放军山东省军区济宁医院,中国人民解放军山东省军区济宁医院,公立/综合医院,一级甲等
山东省,济宁市,市中区,济宁友谊医院,南苑社区卫生服务中心,民营/综合医院,未知
山东省,济宁市,市中区,济宁博仕男科医院,博仕男科,合资/综合医院,未知
山东省,济宁市,市中区,济宁协和医院,济宁协和医院,民营/综合医院,民营医院
山东省,济宁市,市中区,济宁金盾医院,济宁金盾男科医院,其他/专科医院,未知
山东省,济宁市,市中区,济宁口腔医院济宁市牙病防治中心,济宁口腔医院济宁市牙病防治中心,公立/综合医院,一级甲等
山东省,济宁市,市中区,济宁鲁抗医院,济宁鲁抗医院,公立/综合医院,二级甲等
山东省,济宁市,市中区,济宁肿瘤医院,济宁肿瘤医院,公立/综合医院,一级甲等
山东省,济宁市,市中区,济宁烧伤整形医院,济宁烧伤整形医院,公立/综合医院,一级甲等
