省,市,区,全名,别名,性质,等级
山东省,济宁市,任城区,济宁骨伤医院,济宁骨伤医院,公立/综合医院,一级甲等
山东省,济宁市,任城区,济宁老年血管病医院,济宁老年血管病医院,民营/专科医院,未知
山东省,济宁市,任城区,济宁市鲁抗医院,济宁市鲁抗医院,公立/综合医院,二级甲等
山东省,济宁市,任城区,济宁市任城区妇幼保健院,济宁市任城区妇幼保健院,公立/综合医院,二级甲等
山东省,济宁市,任城区,济宁市第二人民医院,济宁市第二人民医院,公立/综合医院,二级甲等
山东省,济宁市,任城区,济宁医学院附属医院,济宁医学院附属医院,公立/综合医院,三级甲等　　
山东省,济宁市,任城区,济宁市中医院,济宁市中医院,其他/综合医院,未知
山东省,济宁市,任城区,济宁市妇女儿童医院,济宁市妇女儿童医院,公立/综合医院,三级甲等　　
山东省,济宁市,任城区,济宁医学院第二附属医院,济宁医学院第二附属医院,公立/综合医院,三级甲等　　
山东省,济宁市,任城区,济宁市第一人民医院,济宁市第一人民医院,公立/综合医院,三级甲等　　
山东省,济宁市,任城区,济宁任城心理医院,济宁心理医院,民营/专科医院,民营医院
山东省,济宁市,任城区,济宁市任城区脉管炎医院,济宁市任城区脉管炎医院,公立/综合医院,未知
山东省,济宁市,任城区,山东推土机总厂医院,山东推土机总厂医院,公立/综合医院,一级甲等
