省,市,区,全名,别名,性质,等级
山东省,济宁市,兖州市,济宁市荣复军人医院,济宁市复退军人精神病院,公立/综合医院,二级甲等
山东省,济宁市,兖州市,中国人民解放军第九十一医院,中国人民解放军第九十一医院,公立/综合医院,一级甲等
山东省,济宁市,兖州市,兖州矿务局兴隆庄医院,兖州矿务局兴隆庄医院,公立/综合医院,二级甲等
山东省,济宁市,兖州市,兖矿集团总公司兴隆庄医院,兖矿集团总公司兴隆庄医院,公立/综合医院,一级甲等
山东省,济宁市,兖州市,兖州市第三人民医院,兖州市第三人民医院,公立/综合医院,未知
山东省,济宁市,兖州市,兖州市第二人民医院,兖州市第二人民医院,公立/综合医院,未知
山东省,济宁市,兖州市,兖州煤矿机械厂职工医院,兖州煤矿机械厂职工医院,公立/综合医院,未知
山东省,济宁市,兖州市,山东拖拉机厂医院,山东拖拉机厂医院,公立/综合医院,未知
山东省,济宁市,兖州市,兖州矿山医院,兖州矿山医院,公立/综合医院,未知
山东省,济宁市,兖州市,兖州铁路医院,兖州铁路医院,公立/综合医院,未知
山东省,济宁市,兖州市,兖州市工人医院,兖州市工人医院,公立/综合医院,未知
山东省,济宁市,兖州市,兖州市精神病院,兖州市精神病院,公立/综合医院,未知
山东省,济宁市,兖州市,兖州市传染病医院,兖州市传染病医院,公立/综合医院,未知
山东省,济宁市,兖州市,兖州市口腔医院,兖州市口腔医院,公立/专科医院,未知
山东省,济宁市,兖州市,兖州市妇幼保健院,兖州市妇幼保健院,公立/综合医院,未知
山东省,济宁市,兖州市,兖州市中医院,兖州市中医院,公立/综合医院,二级甲等
山东省,济宁市,兖州市,兖州市人民医院,兖州市人民医院,公立/综合医院,二级甲等
山东省,济宁市,兖州市,兖州久益医院,兖州久益医院,公立/综合医院,三级乙等
