省,市,区,全名,别名,性质,等级
山东省,济宁市,邹城市,兖矿集团有限公司第二医院,兖矿集团有限公司第二医院,公立/综合医院,一级甲等
山东省,济宁市,邹城市,邹城市北关医院,邹城市北关医院,公立/综合医院,未知
山东省,济宁市,邹城市,邹城落陵矿医院,邹城落陵矿医院,公立/综合医院,未知
山东省,济宁市,邹城市,邹城市商业医院,邹城市商业医院,公立/综合医院,未知
山东省,济宁市,邹城市,邹城市协和中医院,邹城市协和中医院,公立/综合医院,未知
山东省,济宁市,邹城市,邹城市精神病防治院,邹城市大束镇卫生院,公立/综合医院,未知
山东省,济宁市,邹城市,邹城市红十字会康复医院,邹城市红十字会康复医院,公立/综合医院,未知
山东省,济宁市,邹城市,邹城市妇幼保健院,邹城市妇幼保健院,公立/综合医院,未知
山东省,济宁市,邹城市,邹城市人民医院,邹城市人民医院,公立/综合医院,二级甲等
山东省,济宁市,邹城市,兖矿集团公司东滩矿医院,兖矿集团公司东滩矿医院,公立/综合医院,二级甲等
山东省,济宁市,邹城市,兖矿集团公司第二医院,兖矿集团公司第二医院,公立/综合医院,二级甲等
山东省,济宁市,邹城市,兖矿集团公司总医院,兖矿集团公司总医院,公立/综合医院,三级乙等
山东省,济宁市,邹城市,邹城曙光医院,邹城市曙光医院,民营/综合医院,未知
山东省,济宁市,邹城市,邹城协和医院,邹城协和男科医院,民营/专科医院,民营医院
山东省,济宁市,邹城市,兖矿集团南屯矿医院,兖矿集团南屯矿医院,公立/综合医院,一级甲等
