省,市,区,全名,别名,性质,等级
山东省,泰安市,新泰市,新汶矿业集团有限责任公司张庄医院,张庄医院,公立/综合医院,一级甲等
山东省,泰安市,新泰市,新泰市城关医院,新泰市城关医院,公立/综合医院,未知
山东省,泰安市,新泰市,新泰协和医院,新泰协和医院,民营/综合医院,未知
山东省,泰安市,新泰市,新泰市妇幼保健院,新泰市妇幼保健院,公立/综合医院,未知
山东省,泰安市,新泰市,新泰市中医院,新泰市中医院,公立/综合医院,未知
山东省,泰安市,新泰市,新泰市工业医院,新泰市工业医院,公立/综合医院,一级甲等
山东省,泰安市,新泰市,新泰市第三人民医院,新泰市第三人民医院,公立/综合医院,二级甲等
山东省,泰安市,新泰市,新泰市第二人民医院,新泰市第二人民医院,公立/综合医院,二级甲等
山东省,泰安市,新泰市,新汶矿业集团有限责任公司协庄医院,新汶矿业集团有限责任公司协庄医院,公立/综合医院,一级甲等
山东省,泰安市,新泰市,新汶矿业集团有限责任公司孙村医院,孙村医院,公立/综合医院,一级甲等
山东省,泰安市,新泰市,新泰市第一人民医院,新泰市第一人民医院,公立/综合医院,二级甲等
山东省,泰安市,新泰市,新汶矿业集团中心医院,新汶矿业集团中心医院,公立/综合医院,三级乙等
山东省,泰安市,新泰市,新泰矿务局中心医院新汶矿业集团中心医院,新泰矿务局中心医院新汶矿业集团中心医院,公立/综合医院,未知
山东省,泰安市,新泰市,新泰洪强医院,洪强医疗集团,民营/综合医院,二级甲等
