省,市,区,全名,别名,性质,等级
山东省,日照市,东港区,日照友谊医院,日照友谊医院,民营/综合医院,未知
山东省,日照市,东港区,日照阳光医院,日照阳光医院,其他/综合医院,未评级
山东省,日照市,东港区,日照港口医院,日照港口医院,公立/综合医院,二级甲等
山东省,日照市,东港区,东港区人民医院,东港区人民医院,公立/综合医院,二级甲等
山东省,日照市,东港区,齐鲁医院日照分院,齐鲁医院日照分院,公立/综合医院,二级甲等
山东省,日照市,东港区,日照关爱医院,日照关爱医院,民营/综合医院,未知
山东省,日照市,东港区,日照市港口医院,日照市港口医院,公立/综合医院,二级甲等
山东省,日照市,东港区,日照市东港医院,日照市东港医院,公立/综合医院,二级甲等
山东省,日照市,东港区,日照市中医院,日照市中医院,公立/综合医院,二级甲等
山东省,日照市,东港区,日照市第三人民医院,日照市第三人民医院,公立/综合医院,二级甲等
山东省,日照市,东港区,日照市人民医院,日照市人民医院,公立/综合医院,未知
山东省,日照市,东港区,日照市精神卫生中心,日照市精神卫生中心,公立/综合医院,一级甲等
山东省,日照市,东港区,日照市第三人民医院日照市精神卫生中心,日照市第三人民医院日照市精神卫生中心,公立/综合医院,一级甲等
山东省,日照市,东港区,日照现代男科医院,日照现代泌尿专科医院,公立/综合医院,一级甲等
