省,市,区,全名,别名,性质,等级
山东省,德州市,德城区,德州联合医院,德州联合医院,公立/综合医院,一级甲等
山东省,德州市,德城区,德州市十三局医院,十三局医院,公立/综合医院,二级甲等
山东省,德州市,德城区,德州京城医院,德州京城皮肤病医院,合资/综合医院,未评级
山东省,德州市,德城区,德州市立医院,德州市立医院,公立/综合医院,二级甲等
山东省,德州市,德城区,德州市中医院,德州市中医院,公立/综合医院,三级乙等
山东省,德州市,德城区,德州市结核病防治所,德州市肿瘤医院,公立/综合医院,三级甲等　　
山东省,德州市,德城区,德州市人民医院,德州市人民医院,公立/综合医院,三级甲等　　
山东省,德州市,德城区,中国水电十三局医院,中国水电十三局医院,公立/综合医院,一级甲等
山东省,德州市,德城区,德州市德城区中医院,德州市德城区中医院,公立/中医医院,未知
山东省,德州市,德城区,德州市德城区中医院德州联合医院,德州市德城区中医院德州联合医院,公立/中医医院,未知
山东省,德州市,德城区,玉林市传统医疗中心,玉林市传统医疗中心,公立/综合医院,一级甲等
山东省,德州市,德城区,德州十三局职工医院,德州十三局职工医院,公立/综合医院,一级甲等
山东省,德州市,德城区,德州曙光泌尿专科医院,德州曙光男科医院,民营/专科医院,未知
山东省,德州市,德城区,德州市德城区世纪协和医院,二级,民营/综合医院,二级甲等
