省,市,区,全名,别名,性质,等级
山东省,聊城市,东昌府区,聊城市复退军人医院,聊城市复退军人医院,公立/综合医院,一级甲等
山东省,聊城市,东昌府区,聊城市肿瘤防治院,聊城市肿瘤防治院,公立/综合医院,一级甲等
山东省,聊城市,东昌府区,聊城地区复退军人医院,聊城地区复退军人医院,公立/综合医院,一级甲等
山东省,聊城市,东昌府区,聊城市光明眼科医院,聊城市光明眼科医院,公立/专科医院,未知
山东省,聊城市,东昌府区,聊城九龙医院,聊城九龙男科医院,民营/综合医院,未评级
山东省,聊城市,东昌府区,聊城博爱医院,聊城（东昌）博爱妇科医院,民营/专科医院,未评级
山东省,聊城市,东昌府区,聊城市北大医院,聊城北大医院,合资/综合医院,未评级
山东省,聊城市,东昌府区,聊城大学医院,聊城师范学院校医院,公立/综合医院,二级乙等
山东省,聊城市,东昌府区,聊城肛肠医院,聊城肛肠专科医院,公立/专科医院,二级甲等
山东省,聊城市,东昌府区,聊城市东昌府区人民医院,聊城市东昌府区人民医院,公立/综合医院,二级甲等
山东省,聊城市,东昌府区,聊城市耳鼻喉医院,聊城市耳鼻喉医院,公立/综合医院,二级乙等
山东省,聊城市,东昌府区,聊城市手足外科医院,聊城市手足外科医院,公立/综合医院,一级甲等
山东省,聊城市,东昌府区,聊城市肿瘤医院,聊城市传染病医院，聊城市肝病医院，聊城市胸部疾病诊疗中心,公立/综合医院,三级甲等　　
山东省,聊城市,东昌府区,聊城市脑科医院,聊城市脑科医院,公立/综合医院,二级甲等
山东省,聊城市,东昌府区,聊城市机械电子医院,聊城中西医结合康复医院,其他/综合医院,未知
山东省,聊城市,东昌府区,聊城普恩医院,聊城普恩医院,民营/综合医院,未知
山东省,聊城市,东昌府区,聊城东方男科医院,东方男科医院,其他/专科医院,未评级
山东省,聊城市,东昌府区,聊城永衡康复医院,聊城康复医院,其他/专科医院,未知
山东省,聊城市,东昌府区,聊城国际和平医院,聊城地区复退军人医院,公立/综合医院,二级甲等
山东省,聊城市,东昌府区,聊城市妇幼保健院,聊城市妇幼保健院,公立/专科医院,未知
山东省,聊城市,东昌府区,聊城市东昌府区中医院,聊城正骨医院,公立/综合医院,未知
山东省,聊城市,东昌府区,聊城市东昌府人民医院,聊城市东昌府人民医院,公立/综合医院,二级甲等
山东省,聊城市,东昌府区,聊城市第四人民医院,聊城市第四人民医院,公立/综合医院,二级甲等
山东省,聊城市,东昌府区,聊城市第三人民医院,聊城市第三人民医院,公立/综合医院,二级甲等
山东省,聊城市,东昌府区,鲁西骨科医院,鲁西骨科医院,公立/专科医院,二级甲等
山东省,聊城市,东昌府区,聊城市中医院,聊城市中医院,公立/综合医院,三级甲等　　
山东省,聊城市,东昌府区,聊城市人民医院,聊城市人民医院,公立/综合医院,三级甲等　　
山东省,聊城市,东昌府区,聊城第四人民医院,聊城市精神卫生中心,公立/综合医院,二级甲等
山东省,聊城市,东昌府区,聊城现代男科医院,聊城现代泌尿专科医院,民营/综合医院,未知
山东省,聊城市,东昌府区,聊城仁德医院,聊城仁德医院,其他/综合医院,未评级
山东省,聊城市,东昌府区,聊城博爱妇女儿童医院,聊城博爱医院,民营/专科医院,二级甲等
