省,市,区,全名,别名,性质,等级
山东省,滨州市,滨城区,滨城区区直机关医院,滨城区区直机关医院,公立/综合医院,二级乙等
山东省,滨州市,滨城区,滨州京城皮肤病医院,滨州京城皮肤病医院,民营/专科医院,民营医院
山东省,滨州市,滨城区,滨州市沪滨眼科医院,滨州市沪滨眼科医院,民营/综合医院,未知
山东省,滨州市,滨城区,滨州市区妇幼保健站,滨州市区妇幼保健站,公立/综合医院,一级甲等
山东省,滨州市,滨城区,滨州黄河医院,滨州黄河医院,公立/综合医院,一级甲等
山东省,滨州市,滨城区,胜利油田管理局滨南医院,胜利油田管理局滨南医院,公立/综合医院,一级甲等
山东省,滨州市,滨城区,滨州市立医院,滨州市立医院,公立/综合医院,二级甲等
山东省,滨州市,滨城区,滨州市第三人民医院,滨州市第三人民医院,公立/综合医院,二级甲等
山东省,滨州市,滨城区,滨州市第二人民医院,滨州市第二人民医院,公立/综合医院,二级甲等
山东省,滨州市,滨城区,滨州市济生医院,滨州市济生医院,公立/综合医院,二级甲等
山东省,滨州市,滨城区,滨州市精神病医院,滨州市精神病医院,公立/综合医院,二级甲等
山东省,滨州市,滨城区,滨州生殖医学医院,滨州生殖医学医院,公立/综合医院,二级甲等
山东省,滨州市,滨城区,滨州市妇幼保健院,滨州市妇幼保健院,公立/综合医院,二级甲等
山东省,滨州市,滨城区,滨州市中医院,滨州市中医院,公立/综合医院,三级乙等
山东省,滨州市,滨城区,滨州市人民医院,滨州市人民医院,公立/综合医院,三级甲等　　
山东省,滨州市,滨城区,滨州医学院附属医院,滨州医学院附属医院,公立/综合医院,三级甲等　　
山东省,滨州市,滨城区,滨州九龙医院,滨州九龙男科医院,民营/专科医院,民营医院
山东省,滨州市,滨城区,滨州百佳妇产医院,滨州百佳,民营/专科医院,民营医院
山东省,滨州市,滨城区,滨州附大医院,滨州附大男科医院,其他/综合医院,一级甲等
山东省,滨州市,滨城区,滨州市复退军人医院,滨州市复退军人医院,公立/综合医院,一级甲等
山东省,滨州市,滨城区,胜利油田管理局第五医院,胜利油田管理局第五医院,公立/综合医院,一级甲等
山东省,滨州市,滨城区,胜利油田滨采职工医院,胜利油田滨采职工医院,公立/综合医院,一级甲等
山东省,滨州市,滨城区,滨州市滨城区区直机关医院,滨州市滨城区区直机关医院,公立/综合医院,一级乙等
