省,市,区,全名,别名,性质,等级
山东省,滨州市,邹平县,邹平华康医院,邹平华康医院,民营/综合医院,民营医院
山东省,滨州市,邹平县,邹平县中心医院,邹平县第二人民医院,公立/综合医院,二级乙等
山东省,滨州市,邹平县,邹平县精神卫生中心,邹平县精神卫生中心,公立/综合医院,一级甲等
山东省,滨州市,邹平县,邹平现代医院,邹平现代医院,民营/综合医院,未评级
山东省,滨州市,邹平县,邹平县妇幼保健院,邹平县妇幼保健院,公立/综合医院,未知
山东省,滨州市,邹平县,邹平县康复中心,邹平县康复中心,公立/综合医院,未知
山东省,滨州市,邹平县,邹平县专科医院,邹平县专科医院,公立/综合医院,一级甲等
山东省,滨州市,邹平县,邹平鹤伴山老年康复医院,邹平鹤伴山老年康复医院,民营/综合医院,一级甲等
山东省,滨州市,邹平县,邹平县中医院,邹平县中医院,/综合医院,二级甲等
山东省,滨州市,邹平县,邹平县人民医院,邹平县人民医院,公立/综合医院,二级甲等
山东省,滨州市,邹平县,邹平康平医院,邹平康平医院,公立/专科医院,未知
山东省,滨州市,邹平县,邹平明圣医院,明水眼科邹平分院,其他/综合医院,未评级
