省,市,区,全名,别名,性质,等级
河南省,郑州市,中原区,河南省医药科学研究院附属医院,河南省医药院附属医院,公立/综合医院,二级甲等
河南省,郑州市,中原区,河南医学院第一附属医院,河南医学院第一附属医院,公立/综合医院,三级甲等　　
河南省,郑州市,中原区,郑州仁济创伤显微外科医院,郑州仁济医院,其他/专科医院,未评级
河南省,郑州市,中原区,河南省现代医学研究院中医院,河南现代儿科医学研究院,其他/综合医院,未知
河南省,郑州市,中原区,郑州大学男科医院,郑州大学男科医院,公立/综合医院,三级甲等　　
河南省,郑州市,中原区,郑州希褔中医肿瘤医院,郑州希褔中医肿瘤医院,公立/综合医院,三级甲等</span><span class="ico_3jia">　　
河南省,郑州市,中原区,中国人民解放军第一五三中心医院,中国人民解放军第一五三中心医院,公立/未知,三级甲等　　
河南省,郑州市,中原区,郑州解放军153医院,郑州解放军153医院,公立/综合医院,三级甲等　　
河南省,郑州市,中原区,郑州康好医院,郑州康好癫痫病医院,民营/专科医院,未评级
河南省,郑州市,中原区,郑州济民中医院,济民医院,民营/综合医院,一级乙等
河南省,郑州市,中原区,郑州中联中医院,郑州中联乳腺病医院,其他/其他,未评级
河南省,郑州市,中原区,郑州阳光男科医院,阳光男科,个体户/综合医院,一级甲等
河南省,郑州市,中原区,郑州民生耳鼻喉医院,郑州民生耳鼻喉医院,个体户/综合医院,一级甲等
河南省,郑州市,中原区,郑州协和医院,郑州湿疣疱疹医院,公立/综合医院,三级甲等　　
河南省,郑州市,中原区,河南弘大心血管医院,河南弘大心血管医院,公立/综合医院,三级甲等　　
河南省,郑州市,中原区,河南现代医学研究院医院,河南现代医学研究院医院,公立/综合医院,二级甲等
河南省,郑州市,中原区,郑州复康中医院,郑州复康中医肿瘤医院,其他/综合医院,未知
河南省,郑州市,中原区,郑州京科强直中西结合医院,郑州京科强直医院,外资/专科医院,未知
河南省,郑州市,中原区,郑州军大医疗门诊部,郑州军大腋臭研究院,其他/专科医院,未知
河南省,郑州市,中原区,郑州医药院附属医院,河南省医药院附属医院_郑州性病医院,其他/综合医院,未知
河南省,郑州市,中原区,郑州紫荆医院,郑州哮喘病研究院,其他/综合医院,未知
河南省,郑州市,中原区,郑州郑飞医院,郑飞医院,其他/综合医院,未知
河南省,郑州市,中原区,郑州豫丰医院,郑州豫丰医院,其他/综合医院,未知
河南省,郑州市,中原区,郑州蓝雀有限公司职工医院,郑州蓝雀有限公司职工医院,公立/综合医院,一级甲等
河南省,郑州市,中原区,中原油田采油四厂医院,中原油田采油四厂医院,公立/综合医院,一级甲等
河南省,郑州市,中原区,郑州市中原中医院,郑州市中原中医院,公立/中医医院,未知
河南省,郑州市,中原区,郑州美信中医院,郑州美信医院,民营/专科医院,民营医院
河南省,郑州市,中原区,郑州金笛医院,郑州金笛妇科医院,民营/专科医院,民营医院
河南省,郑州市,中原区,中原新美康综合门诊部,中原新美康,民营/门诊,未评级
河南省,郑州市,中原区,河南弘大心血管病医院,河南弘大心血管病医院,个体户/心血管医院,三级甲等　　
河南省,郑州市,中原区,郑州六棉有限公司职工医院,郑州六棉有限公司职工医院,公立/综合医院,一级甲等
河南省,郑州市,中原区,河南亚太骨病医院,河南亚太骨病,民营/综合医院,未知
河南省,郑州市,中原区,郑州广慈医院,郑州市广慈医院,民营/综合医院,民营医院
河南省,郑州市,中原区,郑州防空兵医院,炮院,公立/综合医院,二级甲等
河南省,郑州市,中原区,郑大四附院,郑州大学第四附属医院,公立/综合医院,三级医院
河南省,郑州市,中原区,郑州153解放军医院东区,153中心医院,公立/综合医院,三级甲等　　
河南省,郑州市,中原区,郑州153东区妇产科,郑州153医院,公立/综合医院,三级甲等　　
河南省,郑州市,中原区,河南省医学会医院,河南省医学会医院,公立/综合医院,未知
河南省,郑州市,中原区,中原石油勘探局井下作业公司医院,中原石油勘探局井下作业公司医院,公立/综合医院,未知
河南省,郑州市,中原区,中原医院,中原医院,公立/综合医院,未知
河南省,郑州市,中原区,郑州市第二砂厂职工医院,郑州市第二砂厂职工医院,公立/综合医院,一级甲等
河南省,郑州市,中原区,河南省人民医院,河南省人民医院,公立/综合医院,三级甲等　　
河南省,郑州市,中原区,中原油田总医院,中原油田总医院,公立/综合医院,三级甲等　　
河南省,郑州市,中原区,郑州仁和老年病医院,郑州仁和老年病医院,公立/综合医院,二级甲等
河南省,郑州市,中原区,郑州市二砂医院,郑州市二砂医院,公立/综合医院,二级甲等
河南省,郑州市,中原区,河南省直第三人民医院,河南省直第三人民医院,公立/综合医院,二级甲等
河南省,郑州市,中原区,郑州市中原区人民医院,郑州市中原区人民医院,公立/综合医院,二级甲等
河南省,郑州市,中原区,郑州市中心医院,郑州市第四人民医院,公立/综合医院,三级甲等　　
河南省,郑州市,中原区,中原丽人医疗美容门诊部,郑州丽人国际整形医院,民营/门诊,民营医院
河南省,郑州市,中原区,郑州电缆（集团）股份有限公司医院,郑州电缆（集团）股份有限公司医院,公立/综合医院,一级甲等
河南省,郑州市,中原区,中原油田医院第七分院,中原油田医院第七分院,公立/综合医院,二级乙等
