省,市,区,全名,别名,性质,等级
河南省,郑州市,二七区,郑州西京白癜风医院,郑州白癜风医学研究院,其他/专科医院,未知
河南省,郑州市,二七区,郑州大学医院二院,郑州癫痫病医院,公立/综合医院,未评级
河南省,郑州市,二七区,郑州丰益肛肠医院,郑州丰益肛肠医院,民营/专科医院,二级甲等
河南省,郑州市,二七区,郑州警备区医院,郑州市癫痫病研究院_北京国医药附属河医医院,公立/综合医院,二级甲等
河南省,郑州市,二七区,郑州爱馨医院,爱馨医院,民营/综合医院,民营医院
河南省,郑州市,二七区,郑州市精神病防治医院,郑州市精神病防治医院,公立/综合医院,一级甲等
河南省,郑州市,二七区,郑州市二七区人民医院,郑州市二七区人民医院,公立/综合医院,未知
河南省,郑州市,二七区,河医大校医院,河医大校医院,公立/综合医院,一级甲等
河南省,郑州市,二七区,郑州三棉有限公司职工医院,郑州三棉有限公司职工医院,公立/综合医院,一级甲等
河南省,郑州市,二七区,郑州市第六人民医院郑州市结核病防治所,郑州市第六人民医院郑州市结核病防治所,公立/综合医院,一级甲等
河南省,郑州市,二七区,郑州长虹医院,郑州长虹军区医院,其他/综合医院,未知
河南省,郑州市,二七区,郑州长江医院,郑州长江不孕不育医院,其他/专科医院,未知
河南省,郑州市,二七区,河南省建筑医院,河南省建筑医院,其他/综合医院,未知
河南省,郑州市,二七区,郑州华柱白癜风医院,郑州华柱白癜风专科医院,合资/专科医院,未评级
河南省,郑州市,二七区,郑州神源泌尿外科医院,郑州神源泌尿外科医院,个体户/综合医院,一级甲等
河南省,郑州市,二七区,河南省郑州血液病研究院,河南省郑州血液病研究院,个体户/综合医院,一级甲等
河南省,郑州市,二七区,郑州市第十人民医院,郑州铁路分局郑州铁路医院,公立/综合医院,一级甲等
河南省,郑州市,二七区,郑州市第二中医院,郑州第二中医院,公立/综合医院,未知
河南省,郑州市,二七区,河南省传染病医院,郑州市第六人民医院,公立/综合医院,二级乙等
河南省,郑州市,二七区,河南省肛肠医疗中心,郑州市大肠肛门病医院,公立/综合医院,二级甲等
河南省,郑州市,二七区,郑州中医骨伤病医院,郑州中医骨伤病医院,民营/专科医院,三级甲等　　
河南省,郑州市,二七区,河南省电力医院,河南省电力医院,公立/综合医院,二级甲等
河南省,郑州市,二七区,郑州市第二人民医院,郑州市眼科医院,公立/综合医院,二级甲等
河南省,郑州市,二七区,郑州市第一人民医院,郑州市第一人民医院,公立/综合医院,三级乙等
河南省,郑州市,二七区,郑州市骨科医院,郑州市骨科医院,公立/专科医院,三级甲等　　
河南省,郑州市,二七区,郑州市红十字医院,河南中医学院第六附属医院,公立/综合医院,三级甲等　　
河南省,郑州市,二七区,郑州大学第三附属医院,河南省妇幼保健院,公立/专科医院,三级甲等　　
河南省,郑州市,二七区,郑州大学第五附属医院,郑大五附院,公立/综合医院,三级甲等　　
河南省,郑州市,二七区,郑州市二七区颈肩腰腿痛中医院,郑州市二七区颈肩腰腿痛中医院,公立/中医医院,未知
河南省,郑州市,二七区,郑州中医骨伤病医院,郑州骨科医院,民营/专科医院,二级甲等
河南省,郑州市,二七区,郑州大学附属第五医院,郑州铁路局中心医院,公立/综合医院,三级甲等　　
